date,order_id,customer_id,sku,revenue,quantity,profit,margin,year,month,week,day_of_week,day_of_month,month_name,Бренд,Категория,Тип,current_price,segment,tier,avg_price,profit_margin
2025-06-27,ORD999647,62425327,DDD_Titanium_2708,7180,1,1485.0,0.2068245125348189,2025,6,26,Friday,27,June,KZDOO,Чехлы,Чехол для смартфона,7180.0,High Value New Customers,Gold,7180.0,0.20682451253481896
2025-07-30,ORD538396,43747379,GGG_Pink_7385,2980,3,4553.2,1.0,2025,7,31,Wednesday,30,July,KZDOO,Чехлы,Чехол для смартфона,2980.0,New Customers,Gold,993.3333333333334,1.5279194630872484
2025-07-20,ORD550209,52308782,AAA_Clear_6277,3980,3,6754.799999999999,1.0,2025,7,29,Sunday,20,July,KZDOO,Чехлы,Чехол для смартфона,3980.0,Loyal Customers,Platinum,1326.6666666666667,1.697185929648241
2025-08-20,ORD861330,30155466,GGG_Red_1294,5580,4,14641.4,1.0,2025,8,34,Wednesday,20,August,KZDOO,Чехлы,Чехол для смартфона,5580.0,Loyal Customers,Platinum,1395.0,2.6239068100358423
2025-03-10,ORD404302,84839270,FFF_Black_2376,2890,4,6805.1,1.0,2025,3,11,Monday,10,March,KZDOO,Чехлы,Чехол для смартфона,2890.0,At Risk,Bronze,722.5,2.3547058823529414
2025-05-23,ORD300626,58239097,FFF_Titanium_8411,7380,3,14027.2,1.0,2025,5,21,Friday,23,May,KZDOO,Чехлы,Чехол для смартфона,7380.0,At Risk,Bronze,2460.0,1.9007046070460705
2025-01-17,ORD870685,62741760,HHH_Titanium_3383,8990,4,24347.4,1.0,2025,1,3,Friday,17,January,KEEPHONE,Чехлы,Чехол для смартфона,8990.0,Cannot Lose Them,Silver,2247.5,2.7082758620689655
2025-02-01,ORD701184,10060494,EEE_Purple_5001,5180,3,9457.2,1.0,2025,2,5,Saturday,1,February,KZDOO,Чехлы,Чехол для смартфона,5180.0,High Value New Customers,Gold,1726.6666666666667,1.8257142857142858
2025-07-14,ORD555103,42624136,BBB_Green_8505,9180,1,480.0,0.0522875816993464,2025,7,29,Monday,14,July,KZDOO,Чехлы,Чехол для смартфона,9180.0,Loyal Customers,Platinum,9180.0,0.05228758169934641
2025-01-20,ORD875748,37857061,AAA_Black_9470,2900,1,-126.0,-0.0434482758620689,2025,1,4,Monday,20,January,KZDOO,Чехлы,Чехол для смартфона,2900.0,Potential Loyalists,Silver,2900.0,-0.043448275862068966
2025-01-25,ORD830395,87949160,DDD_Blue_7114,2980,2,2206.2,0.7403355704697986,2025,1,4,Saturday,25,January,KZDOO,Чехлы,Чехол для смартфона,2980.0,New Customers,Gold,1490.0,0.7403355704697986
2025-08-05,ORD251412,99453640,CCC_Green_7311,11100,1,20.0,0.0018018018018018,2025,8,32,Tuesday,5,August,KZDOO,Чехлы,Чехол для смартфона,11100.0,Loyal Customers,Platinum,11100.0,0.0018018018018018018
2025-03-11,ORD776411,80289394,GGG_Purple_5051,6580,3,12536.0,1.0,2025,3,11,Tuesday,11,March,KZDOO,Чехлы,Чехол для смартфона,6580.0,High Value New Customers,Gold,2193.3333333333335,1.9051671732522797
2025-03-24,ORD651342,31882676,CCC_Titanium_5561,4980,4,13226.6,1.0,2025,3,13,Monday,24,March,KZDOO,Чехлы,Чехол для смартфона,4980.0,213,Silver,1245.0,2.655943775100402
2025-04-08,ORD111488,87448383,AAA_Green_2528,4300,2,4003.0,0.9309302325581396,2025,4,15,Tuesday,8,April,KZDOO,Чехлы,Чехол для смартфона,4300.0,Loyal Customers,Gold,2150.0,0.9309302325581396
2025-06-15,ORD530101,15211947,DDD_Green_9844,6738,4,17256.56,1.0,2025,6,24,Sunday,15,June,KZDOO,Чехлы,Чехол для смартфона,6738.0,At Risk,Bronze,1684.5,2.5610804392994955
2025-05-21,ORD574186,78108555,BBB_Green_2236,6050,3,11859.5,1.0,2025,5,21,Wednesday,21,May,KZDOO,Чехлы,Чехол для смартфона,6050.0,Champions,Platinum,2016.6666666666667,1.9602479338842975
2025-04-15,ORD313059,67732421,HHH_Black_7854,7300,1,744.0,0.101917808219178,2025,4,16,Tuesday,15,April,K-DOO,Чехлы,Чехол для смартфона,7300.0,High Value New Customers,Gold,7300.0,0.10191780821917808
2025-06-04,ORD463773,58484682,GGG_Green_9626,4380,2,3352.2,0.7653424657534246,2025,6,23,Wednesday,4,June,KZDOO,Чехлы,Чехол для смартфона,4380.0,Loyal Customers,Platinum,2190.0,0.7653424657534246
2025-07-07,ORD833189,84503528,EEE_Black_2767,5648,3,10015.84,1.0,2025,7,28,Monday,7,July,KZDOO,Чехлы,Чехол для смартфона,5648.0,High Value New Customers,Gold,1882.6666666666667,1.773342776203966
2025-05-16,ORD837197,51313051,DDD_Clear_9288,11100,2,10749.0,0.9683783783783784,2025,5,20,Friday,16,May,KZDOO,Чехлы,Чехол для смартфона,11100.0,High Value New Customers,Platinum,5550.0,0.9683783783783784
2025-09-06,ORD600423,69728328,HHH_Red_6449,1800,2,1198.0,0.6655555555555556,2025,9,36,Saturday,6,September,Panasonic,Батарейки и аккумуляторы,Батарейка,1800.0,Loyal Customers,Gold,900.0,0.6655555555555556
2025-04-07,ORD324256,25673692,HHH_Titanium_2410,8500,1,860.0,0.1011764705882353,2025,4,15,Monday,7,April,KZDOO,Чехлы,Чехол для смартфона,8500.0,High Value New Customers,Platinum,8500.0,0.1011764705882353
2025-07-08,ORD125621,48103158,BBB_Blue_2666,2500,3,4221.0,1.0,2025,7,28,Tuesday,8,July,KZDOO,Чехлы,Чехол для смартфона,2500.0,New Customers,Gold,833.3333333333334,1.6884
2025-05-03,ORD914690,74952520,DDD_Green_2949,4980,4,12355.8,1.0,2025,5,18,Saturday,3,May,KZDOO,Чехлы,Чехол для смартфона,4980.0,High Value New Customers,Gold,1245.0,2.4810843373493974
2025-05-21,ORD362353,64538087,CCC_Clear_4692,3490,2,2843.6000000000004,0.8147851002865331,2025,5,21,Wednesday,21,May,KZDOO,Чехлы,Чехол для смартфона,3490.0,234,Gold,1745.0,0.8147851002865331
2025-04-01,ORD811756,85372595,CCC_Titanium_6837,2550,2,2168.5,0.850392156862745,2025,4,14,Tuesday,1,April,KZDOO,Чехлы,Чехол для смартфона,2550.0,At Risk,Bronze,1275.0,0.850392156862745
2025-01-24,ORD468701,52760747,EEE_Titanium_6892,4700,4,12375.0,1.0,2025,1,4,Friday,24,January,KZDOO,Чехлы,Чехол для смартфона,4700.0,High Value New Customers,Gold,1175.0,2.632978723404255
2025-04-27,ORD638331,71333535,CCC_Clear_1274,1460,3,2402.4,1.0,2025,4,17,Sunday,27,April,REMAX,Защитные пленки и стекла,Защитное стекло,1460.0,Loyal Customers,Gold,486.6666666666667,1.6454794520547946
2025-06-10,ORD478782,18488674,CCC_Clear_9381,3490,2,3644.2,1.0,2025,6,24,Tuesday,10,June,KZDOO,Чехлы,Чехол для смартфона,3490.0,Loyal Customers,Gold,1745.0,1.0441833810888252
2025-09-01,ORD130061,89459784,FFF_Purple_8560,6580,2,6335.6,0.962857142857143,2025,9,36,Monday,1,September,KZDOO,Чехлы,Чехол для смартфона,6580.0,Loyal Customers,Platinum,3290.0,0.962857142857143
2025-02-28,ORD756809,33336859,BBB_Blue_8197,6000,2,5769.0,0.9615,2025,2,9,Friday,28,February,KZDOO,Чехлы,Чехол для смартфона,6000.0,Loyal Customers,Platinum,3000.0,0.9615
2025-03-11,ORD833401,26561997,CCC_Titanium_7137,6580,3,12009.8,1.0,2025,3,11,Tuesday,11,March,KZDOO,Чехлы,Чехол для смартфона,6580.0,Cannot Lose Them,Silver,2193.3333333333335,1.8251975683890576
2025-06-01,ORD649872,40831517,HHH_Titanium_9359,3590,3,6723.0,1.0,2025,6,22,Sunday,1,June,KZDOO,Чехлы,Чехол для смартфона,3590.0,About To Sleep,Silver,1196.6666666666667,1.8727019498607242
2025-08-22,ORD748309,80225576,BBB_Titanium_7452,1360,4,3172.6000000000004,1.0,2025,8,34,Friday,22,August,Varta,Батарейки и аккумуляторы,Батарейка,1360.0,New Customers,Silver,340.0,2.332794117647059
2025-09-01,ORD947949,82562635,BBB_Green_6494,2780,3,4620.4,1.0,2025,9,36,Monday,1,September,KZDOO,Чехлы,Чехол для смартфона,2780.0,New Customers,Silver,926.6666666666666,1.6620143884892085
2025-07-20,ORD920966,22599508,GGG_Blue_2762,7180,3,14103.0,1.0,2025,7,29,Sunday,20,July,KZDOO,Чехлы,Чехол для смартфона,7180.0,Potential Loyalists,Silver,2393.3333333333335,1.9642061281337047
2025-04-16,ORD107742,60736622,HHH_Pink_2327,9380,1,2084.0,0.2221748400852878,2025,4,16,Wednesday,16,April,KZDOO,Чехлы,Чехол для смартфона,9380.0,Cannot Lose Them,Gold,9380.0,0.22217484008528784
2025-04-16,ORD107742,60736622,HHH_Pink_2327,9380,1,2084.0,0.2221748400852878,2025,4,16,Wednesday,16,April,KZDOO,Чехлы,Чехол для смартфона,9380.0,Cannot Lose Them,Gold,9380.0,0.22217484008528784
2025-07-23,ORD501860,54290924,DDD_Green_9078,7180,4,18580.2,1.0,2025,7,30,Wednesday,23,July,KZDOO,Чехлы,Чехол для смартфона,7180.0,Loyal Customers,Platinum,1795.0,2.587771587743733
2025-05-02,ORD865861,65415657,HHH_Black_7735,7180,2,7306.799999999999,1.0,2025,5,18,Friday,2,May,KZDOO,Чехлы,Чехол для смартфона,7180.0,Loyal Customers,Platinum,3590.0,1.0176601671309191
2025-01-09,ORD446483,27730464,CCC_White_7695,7180,3,12517.6,1.0,2025,1,2,Thursday,9,January,KZDOO,Чехлы,Чехол для смартфона,7180.0,324,Gold,2393.3333333333335,1.743398328690808
2025-09-20,ORD982269,16337630,EEE_Blue_8965,4100,2,3424.0,0.8351219512195122,2025,9,38,Saturday,20,September,KZDOO,Чехлы,Чехол для смартфона,4100.0,Loyal Customers,Platinum,2050.0,0.8351219512195122
2025-02-15,ORD905602,78585756,AAA_Titanium_1682,6580,2,6376.799999999999,0.9691185410334344,2025,2,7,Saturday,15,February,KZDOO,Чехлы,Чехол для смартфона,6580.0,235,Gold,3290.0,0.9691185410334345
2025-09-17,ORD124351,41812842,BBB_Green_4942,4980,1,707.4000000000001,0.1420481927710843,2025,9,38,Wednesday,17,September,KZDOO,Чехлы,Чехол для смартфона,4980.0,High Value New Customers,Gold,4980.0,0.14204819277108435
2025-06-03,ORD490294,89466257,FFF_Green_6760,7828,3,13632.12,1.0,2025,6,23,Tuesday,3,June,KZDOO,Чехлы,Чехол для смартфона,7828.0,Loyal Customers,Gold,2609.3333333333335,1.7414563106796117
2025-06-24,ORD968161,61392847,HHH_Purple_2910,5580,4,15604.8,1.0,2025,6,26,Tuesday,24,June,KZDOO,Чехлы,Чехол для смартфона,5580.0,325,Gold,1395.0,2.796559139784946
2025-04-22,ORD573995,79336129,EEE_Purple_7709,5500,3,9478.0,1.0,2025,4,17,Tuesday,22,April,KZDOO,Чехлы,Чехол для смартфона,5500.0,113,Bronze,1833.3333333333333,1.7232727272727273
2025-08-15,ORD855375,45437720,DDD_Black_8635,2850,2,2804.5,0.9840350877192984,2025,8,33,Friday,15,August,KEEPHONE,Чехлы,Чехол для смартфона,2850.0,Champions,Platinum,1425.0,0.9840350877192983
2025-06-20,ORD285753,74085515,CCC_Purple_3517,5990,4,16764.5,1.0,2025,6,25,Friday,20,June,KZDOO,Чехлы,Чехол для смартфона,5990.0,New Customers,Gold,1497.5,2.798747913188648
2025-01-07,ORD178060,99230127,BBB_Purple_4146,2980,3,5573.6,1.0,2025,1,2,Tuesday,7,January,KZDOO,Чехлы,Чехол для смартфона,2980.0,Loyal Customers,Gold,993.3333333333334,1.8703355704697988
2025-08-05,ORD438460,25995510,EEE_Clear_8415,4600,2,3695.0,0.8032608695652174,2025,8,32,Tuesday,5,August,KEEPHONE,Чехлы,Чехол для смартфона,4600.0,324,Gold,2300.0,0.8032608695652174
2025-02-11,ORD487349,33846396,GGG_White_5000,3290,2,3082.0,0.9367781155015198,2025,2,7,Tuesday,11,February,KZDOO,Чехлы,Чехол для смартфона,3290.0,New Customers,Gold,1645.0,0.9367781155015198
2025-06-24,ORD679385,62743855,EEE_Blue_8678,3380,1,-179.5999999999999,-0.0531360946745561,2025,6,26,Tuesday,24,June,KZDOO,Чехлы,Чехол для смартфона,3380.0,At Risk,Bronze,3380.0,-0.053136094674556184
2025-06-15,ORD968374,55041656,AAA_Green_9617,2790,1,38.200000000000045,0.0136917562724014,2025,6,24,Sunday,15,June,KZDOO,Чехлы,Чехол для смартфона,2790.0,At Risk,Bronze,2790.0,0.01369175627240145
2025-06-17,ORD233074,12911883,DDD_Red_2385,680,1,-254.2,-0.3738235294117646,2025,6,25,Tuesday,17,June,Robiton,Батарейки и аккумуляторы,Батарейка,680.0,At Risk,Bronze,680.0,-0.37382352941176467
2025-05-08,ORD297726,74230163,CCC_Blue_5972,4990,2,4346.6,0.871062124248497,2025,5,19,Thursday,8,May,KZDOO,Чехлы,Чехол для смартфона,4990.0,213,Silver,2495.0,0.871062124248497
2025-01-19,ORD879907,24666903,BBB_Titanium_9028,3380,3,5849.8,1.0,2025,1,3,Sunday,19,January,KZDOO,Чехлы,Чехол для смартфона,3380.0,New Customers,Gold,1126.6666666666667,1.7307100591715976
2025-04-18,ORD751983,61392847,HHH_Purple_2910,5580,1,345.0,0.0618279569892473,2025,4,16,Friday,18,April,KZDOO,Чехлы,Чехол для смартфона,5580.0,325,Gold,5580.0,0.06182795698924731
2025-05-19,ORD882680,29055787,FFF_Blue_7389,7180,3,12907.2,1.0,2025,5,21,Monday,19,May,KZDOO,Чехлы,Чехол для смартфона,7180.0,235,Gold,2393.3333333333335,1.7976601671309194
2025-08-10,ORD146417,51304009,BBB_Red_7529,6990,1,1642.1000000000004,0.2349213161659514,2025,8,32,Sunday,10,August,KEEPHONE,Чехлы,Чехол для смартфона,6990.0,High Value New Customers,Gold,6990.0,0.2349213161659514
2025-01-29,ORD552340,62613196,BBB_Red_1893,6580,4,15988.4,1.0,2025,1,5,Wednesday,29,January,KEEPHONE,Чехлы,Чехол для смартфона,6580.0,325,Gold,1645.0,2.4298480243161094
2025-03-07,ORD326262,59874443,FFF_Green_9068,3380,4,8306.2,1.0,2025,3,10,Friday,7,March,KZDOO,Чехлы,Чехол для смартфона,3380.0,Potential Loyalists,Silver,845.0,2.4574556213017753
2025-04-23,ORD590449,38119865,GGG_Blue_2701,5380,1,-45.19999999999982,-0.0084014869888475,2025,4,17,Wednesday,23,April,KZDOO,Чехлы,Чехол для смартфона,5380.0,Cannot Lose Them,Silver,5380.0,-0.00840148698884755
2025-04-23,ORD449428,69857947,BBB_Pink_3387,11100,2,10399.0,0.9368468468468468,2025,4,17,Wednesday,23,April,KZDOO,Чехлы,Чехол для смартфона,11100.0,High Value New Customers,Gold,5550.0,0.9368468468468468
2025-06-10,ORD883822,38174132,AAA_Pink_2294,2290,1,83.90000000000009,0.0366375545851528,2025,6,24,Tuesday,10,June,KEEPHONE,Чехлы,Чехол для смартфона,2290.0,Loyal Customers,Gold,2290.0,0.03663755458515288
2025-02-28,ORD932993,99973635,CCC_Black_9622,5980,1,91.59999999999992,0.0153177257525083,2025,2,9,Friday,28,February,KZDOO,Чехлы,Чехол для смартфона,5980.0,At Risk,Bronze,5980.0,0.015317725752508348
2025-05-10,ORD186358,42673199,HHH_White_7627,7180,2,7312.799999999999,1.0,2025,5,19,Saturday,10,May,KZDOO,Чехлы,Чехол для смартфона,7180.0,High Value New Customers,Gold,3590.0,1.0184958217270195
2025-04-17,ORD482248,82538041,EEE_Pink_7010,5990,4,16620.3,1.0,2025,4,16,Thursday,17,April,KEEPHONE,Чехлы,Чехол для смартфона,5990.0,113,Bronze,1497.5,2.7746744574290485
2025-04-05,ORD674215,35600902,GGG_Clear_3876,7500,3,14926.0,1.0,2025,4,14,Saturday,5,April,KZDOO,Чехлы,Чехол для смартфона,7500.0,Cannot Lose Them,Silver,2500.0,1.9901333333333333
2025-06-06,ORD966705,52297033,EEE_Red_3557,2550,1,109.0,0.0427450980392156,2025,6,23,Friday,6,June,KZDOO,Чехлы,Чехол для смартфона,2550.0,New Customers,Gold,2550.0,0.04274509803921569
2025-02-24,ORD771207,56604839,GGG_Titanium_3952,3490,2,3198.3,0.9164183381088826,2025,2,9,Monday,24,February,KZDOO,Чехлы,Чехол для смартфона,3490.0,324,Gold,1745.0,0.9164183381088826
2025-06-13,ORD285399,28865428,CCC_White_6197,1900,1,210.0,0.1105263157894736,2025,6,24,Friday,13,June,Varta,Батарейки и аккумуляторы,Батарейка,1900.0,At Risk,Bronze,1900.0,0.11052631578947368
2025-09-20,ORD635339,93401890,GGG_Titanium_7551,2790,2,2485.8,0.8909677419354839,2025,9,38,Saturday,20,September,KZDOO,Чехлы,Чехол для смартфона,2790.0,New Customers,Silver,1395.0,0.8909677419354839
2025-05-30,ORD653724,16278472,EEE_Blue_7850,7180,3,12878.4,1.0,2025,5,22,Friday,30,May,KZDOO,Чехлы,Чехол для смартфона,7180.0,High Value New Customers,Gold,2393.3333333333335,1.7936490250696377
2025-03-09,ORD593825,13642174,BBB_Black_4746,5500,3,9427.0,1.0,2025,3,10,Sunday,9,March,KZDOO,Чехлы,Чехол для смартфона,5500.0,113,Bronze,1833.3333333333333,1.714
2025-08-09,ORD985444,20762733,GGG_Purple_4715,1550,4,3407.0,1.0,2025,8,32,Saturday,9,August,KZDOO,Чехлы,Чехол для смартфона,1550.0,New Customers,Silver,387.5,2.1980645161290324
2025-04-02,ORD627397,16238464,GGG_Green_8833,3380,2,2712.2,0.8024260355029585,2025,4,14,Wednesday,2,April,KZDOO,Чехлы,Чехол для смартфона,3380.0,At Risk,Bronze,1690.0,0.8024260355029585
2025-04-15,ORD256706,96985825,HHH_Purple_2504,3200,2,3164.0,0.98875,2025,4,16,Tuesday,15,April,KZDOO,Чехлы,Чехол для смартфона,3200.0,High Value New Customers,Gold,1600.0,0.98875
2025-06-02,ORD791932,35605795,CCC_Titanium_5935,2200,4,5863.0,1.0,2025,6,23,Monday,2,June,KZDOO,Чехлы,Чехол для смартфона,2200.0,Potential Loyalists,Bronze,550.0,2.665
2025-08-11,ORD142801,97009468,BBB_Red_2622,5580,4,13086.2,1.0,2025,8,33,Monday,11,August,KZDOO,Чехлы,Чехол для смартфона,5580.0,New Customers,Silver,1395.0,2.3451971326164878
2025-08-06,ORD619117,94453894,CCC_Green_6440,7300,2,6356.0,0.8706849315068493,2025,8,32,Wednesday,6,August,KZDOO,Чехлы,Чехол для смартфона,7300.0,325,Gold,3650.0,0.8706849315068493
2025-01-16,ORD912659,40831517,HHH_Titanium_9359,3590,4,9150.2,1.0,2025,1,3,Thursday,16,January,KZDOO,Чехлы,Чехол для смартфона,3590.0,About To Sleep,Silver,897.5,2.5488022284122565
2025-09-15,ORD462429,52732703,CCC_Pink_7226,6200,3,10647.0,1.0,2025,9,38,Monday,15,September,Robiton,Батарейки и аккумуляторы,Аккумуляторная батарейка,6200.0,Loyal Customers,Platinum,2066.6666666666665,1.717258064516129
2025-02-11,ORD856555,17625450,EEE_Red_9020,5580,1,844.3999999999996,0.1513261648745519,2025,2,7,Tuesday,11,February,KZDOO,Чехлы,Чехол для смартфона,5580.0,Cannot Lose Them,Gold,5580.0,0.15132616487455192
2025-03-11,ORD993686,49969528,HHH_Purple_2012,2980,3,5039.4,1.0,2025,3,11,Tuesday,11,March,KZDOO,Чехлы,Чехол для смартфона,2980.0,New Customers,Silver,993.3333333333334,1.6910738255033555
2025-06-07,ORD562029,69371023,AAA_Red_8534,6180,4,16811.6,1.0,2025,6,23,Saturday,7,June,KZDOO,Чехлы,Чехол для смартфона,6180.0,Champions,Platinum,1545.0,2.720323624595469
2025-08-12,ORD546311,84625234,FFF_Titanium_1292,3100,2,2391.0,0.7712903225806451,2025,8,33,Tuesday,12,August,KEEPHONE,Чехлы,Чехол для смартфона,3100.0,High Value New Customers,Gold,1550.0,0.7712903225806451
2025-08-03,ORD953942,29143377,CCC_Titanium_5503,380,2,-161.4,-0.4247368421052632,2025,8,31,Sunday,3,August,Нет бренда,Чехлы,Чехол для смартфона,380.0,New Customers,Gold,190.0,-0.4247368421052632
2025-04-26,ORD819026,71333535,CCC_Clear_1274,1460,3,2072.2,1.0,2025,4,17,Saturday,26,April,REMAX,Защитные пленки и стекла,Защитное стекло,1460.0,Loyal Customers,Gold,486.6666666666667,1.4193150684931506
2025-04-02,ORD977452,84044517,AAA_Clear_3473,2590,2,2210.6,0.8535135135135135,2025,4,14,Wednesday,2,April,KZDOO,Чехлы,Чехол для смартфона,2590.0,At Risk,Bronze,1295.0,0.8535135135135135
2025-06-29,ORD308906,18519010,DDD_Blue_8362,6580,4,16448.6,1.0,2025,6,26,Sunday,29,June,KEEPHONE,Чехлы,Чехол для смартфона,6580.0,High Value New Customers,Gold,1645.0,2.499787234042553
2025-05-07,ORD666125,93626225,FFF_Clear_4303,9990,3,20417.3,1.0,2025,5,19,Wednesday,7,May,KZDOO,Чехлы,Чехол для смартфона,9990.0,Champions,Platinum,3330.0,2.043773773773774
2025-06-05,ORD655237,84867052,BBB_Black_9984,3980,2,2916.4,0.7327638190954773,2025,6,23,Thursday,5,June,KZDOO,Чехлы,Чехол для смартфона,3980.0,Cannot Lose Them,Silver,1990.0,0.7327638190954774
2025-06-12,ORD486500,91512215,DDD_Red_1755,2490,1,203.0,0.0815261044176706,2025,6,24,Thursday,12,June,KZDOO,Чехлы,Чехол для смартфона,2490.0,At Risk,Bronze,2490.0,0.08152610441767068
2025-06-07,ORD545107,51023847,FFF_Green_1065,4990,1,130.0,0.0260521042084168,2025,6,23,Saturday,7,June,KZDOO,Чехлы,Чехол для смартфона,4990.0,High Value New Customers,Gold,4990.0,0.026052104208416832
2025-05-31,ORD545401,18885984,DDD_Purple_4347,6200,4,17404.0,1.0,2025,5,22,Saturday,31,May,KEEPHONE,Чехлы,Чехол для смартфона,6200.0,325,Gold,1550.0,2.8070967741935484
2025-09-01,ORD639745,99230127,BBB_Purple_4146,2980,2,2772.6000000000004,0.9304026845637584,2025,9,36,Monday,1,September,KZDOO,Чехлы,Чехол для смартфона,2980.0,Loyal Customers,Gold,1490.0,0.9304026845637585
2025-06-19,ORD992206,24644733,FFF_Black_3652,3477,4,8662.36,1.0,2025,6,25,Thursday,19,June,KEEPHONE,Чехлы,Чехол для смартфона,3477.0,Potential Loyalists,Silver,869.25,2.491331607707794
2025-05-16,ORD210044,10226963,FFF_Green_2714,9180,3,15819.4,1.0,2025,5,20,Friday,16,May,KZDOO,Чехлы,Чехол для смартфона,9180.0,213,Silver,3060.0,1.7232461873638343
2025-04-26,ORD386456,11723919,EEE_Black_5621,3180,1,-214.4000000000001,-0.0674213836477987,2025,4,17,Saturday,26,April,KZDOO,Чехлы,Чехол для смартфона,3180.0,Cannot Lose Them,Silver,3180.0,-0.06742138364779877
2025-03-03,ORD210660,23429358,HHH_Pink_8971,11100,3,20252.0,1.0,2025,3,10,Monday,3,March,KZDOO,Чехлы,Чехол для смартфона,11100.0,Cannot Lose Them,Silver,3700.0,1.8245045045045045
2025-02-09,ORD773752,74692955,DDD_Black_2968,5124,2,4882.0,0.9527712724434036,2025,2,6,Sunday,9,February,KZDOO,Чехлы,Чехол для смартфона,5124.0,Champions,Platinum,2562.0,0.9527712724434035
2025-04-20,ORD778832,52629278,FFF_Purple_6937,5990,4,15463.6,1.0,2025,4,16,Sunday,20,April,KEEPHONE,Чехлы,Чехол для смартфона,5990.0,235,Gold,1497.5,2.5815692821368947
2025-09-18,ORD939451,71643669,CCC_Green_1403,11100,4,29753.0,1.0,2025,9,38,Thursday,18,September,KZDOO,Чехлы,Чехол для смартфона,11100.0,Loyal Customers,Platinum,2775.0,2.6804504504504503
2025-06-22,ORD134912,64493994,EEE_Clear_3126,2980,4,7714.799999999999,1.0,2025,6,25,Sunday,22,June,KZDOO,Чехлы,Чехол для смартфона,2980.0,New Customers,Silver,745.0,2.5888590604026844
2025-08-18,ORD586311,39497042,BBB_White_2474,2000,3,3094.0,1.0,2025,8,34,Monday,18,August,REMAX,Защитные пленки и стекла,Защитное стекло,2000.0,New Customers,Silver,666.6666666666666,1.547
2025-05-09,ORD694727,20387700,HHH_Black_9830,6980,1,1339.6000000000004,0.191919770773639,2025,5,19,Friday,9,May,KEEPHONE,Чехлы,Чехол для смартфона,6980.0,Cannot Lose Them,Silver,6980.0,0.19191977077363903
2025-01-08,ORD861478,50625074,EEE_White_5636,5980,3,9724.4,1.0,2025,1,2,Wednesday,8,January,KZDOO,Чехлы,Чехол для смартфона,5980.0,213,Silver,1993.3333333333333,1.626153846153846
2025-03-11,ORD680472,53675020,DDD_Titanium_6448,5580,3,9633.4,1.0,2025,3,11,Tuesday,11,March,KZDOO,Чехлы,Чехол для смартфона,5580.0,High Value New Customers,Gold,1860.0,1.7264157706093188
2025-07-19,ORD301565,42354439,HHH_Red_3959,6580,2,6093.6,0.9260790273556232,2025,7,29,Saturday,19,July,KZDOO,Чехлы,Чехол для смартфона,6580.0,314,Silver,3290.0,0.9260790273556232
2025-04-27,ORD841509,72055283,DDD_Purple_2787,10980,2,10540.8,0.96,2025,4,17,Sunday,27,April,KZDOO,Чехлы,Чехол для смартфона,10980.0,Cannot Lose Them,Silver,5490.0,0.96
2025-07-31,ORD659013,59874443,FFF_Green_9068,3380,2,3311.6000000000004,0.9797633136094676,2025,7,31,Thursday,31,July,KZDOO,Чехлы,Чехол для смартфона,3380.0,Potential Loyalists,Silver,1690.0,0.9797633136094676
2025-04-19,ORD110586,45963238,FFF_Titanium_5998,2600,1,210.0,0.0807692307692307,2025,4,16,Saturday,19,April,KEEPHONE,Чехлы,Чехол для смартфона,2600.0,At Risk,Bronze,2600.0,0.08076923076923077
2025-02-03,ORD971992,93094444,DDD_White_9135,2990,1,552.3000000000002,0.1847157190635452,2025,2,6,Monday,3,February,KEEPHONE,Чехлы,Чехол для смартфона,2990.0,234,Gold,2990.0,0.18471571906354523
2025-04-18,ORD919705,21929427,FFF_Green_1597,4990,2,3828.2,0.7671743486973948,2025,4,16,Friday,18,April,KZDOO,Чехлы,Чехол для смартфона,4990.0,High Value New Customers,Gold,2495.0,0.7671743486973948
2025-06-19,ORD540263,20387700,HHH_Black_9830,6980,2,6274.4,0.8989111747851002,2025,6,25,Thursday,19,June,KEEPHONE,Чехлы,Чехол для смартфона,6980.0,Cannot Lose Them,Silver,3490.0,0.8989111747851002
2025-09-20,ORD111634,65415657,HHH_Black_7735,7180,1,437.0,0.0608635097493036,2025,9,38,Saturday,20,September,KZDOO,Чехлы,Чехол для смартфона,7180.0,Loyal Customers,Platinum,7180.0,0.06086350974930362
2025-09-20,ORD111891,72952203,EEE_Pink_4218,6738,4,18217.02,1.0,2025,9,38,Saturday,20,September,KZDOO,Чехлы,Чехол для смартфона,6738.0,High Value New Customers,Gold,1684.5,2.703624220837044
2025-06-22,ORD412750,98454420,AAA_Titanium_4017,7180,1,1375.0,0.1915041782729805,2025,6,25,Sunday,22,June,KZDOO,Чехлы,Чехол для смартфона,7180.0,Cannot Lose Them,Silver,7180.0,0.1915041782729805
2025-04-05,ORD730153,18140841,EEE_Pink_1003,4980,1,374.5999999999999,0.0752208835341365,2025,4,14,Saturday,5,April,KZDOO,Чехлы,Чехол для смартфона,4980.0,Loyal Customers,Gold,4980.0,0.07522088353413653
2025-07-20,ORD858641,77364242,EEE_White_7896,7000,1,1132.0,0.1617142857142857,2025,7,29,Sunday,20,July,KEEPHONE,Чехлы,Чехол для смартфона,7000.0,Potential Loyalists,Silver,7000.0,0.16171428571428573
2025-08-29,ORD555909,43776637,EEE_Blue_5790,5980,2,5875.0,0.9824414715719064,2025,8,35,Friday,29,August,KZDOO,Чехлы,Чехол для смартфона,5980.0,Loyal Customers,Platinum,2990.0,0.9824414715719063
