sku,Бренд,Категория,Тип,current_price,original_price,rating,volume_l,volume_weight_kg,vat_percent,abc_class,xyz_class,abc_xyz_class,revenue,percent_contribution,cv,strategic_recommendation,priority
DDD_Red_2976,KZDOO,Чехлы,Чехол для смартфона,4980.0,11990.0,4.8,0.36,0.1,0,B,Z,BZ,9960,0.0008505025693119,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
FFF_Pink_5900,KEEPHONE,Чехлы,Чехол для смартфона,6590.0,11990.0,4.9,0.41,0.1,0,A,Z,AZ,13180,0.0011254642433263,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Blue_4612,REMAX,Защитные пленки и стекла,Защитное стекло,1200.0,4900.0,0.0,0.17,0.1,0,C,Z,CZ,4800,0.0004098807562948,1.2074386788840692,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
CCC_Pink_6619,KZDOO,Чехлы,Чехол для смартфона,2900.0,11990.0,4.7,0.36,0.1,0,B,Z,BZ,8700,0.0007429088707844,1.7320508075688772,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
CCC_Pink_8383,KZDOO,Чехлы,Чехол для смартфона,11100.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,66600,0.0056870954935916,1.5603109666024912,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Green_9742,Robiton,Батарейки и аккумуляторы,Батарейка,860.0,2900.0,4.8,0.02,0.1,0,C,Z,CZ,2580,0.0002203109065085,1.7286645857424163,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
HHH_Green_1488,KZDOO,Чехлы,Чехол для смартфона,2780.0,11990.0,4.7,0.36,0.1,0,B,Z,BZ,5560,0.0004747785427082,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
CCC_Purple_9600,KEEPHONE,Чехлы,Чехол для смартфона,5990.0,8990.0,4.8,0.41,0.1,0,A,Z,AZ,35940,0.003068982162758,1.511435997821345,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Titanium_8096,KZDOO,Чехлы,Чехол для смартфона,11100.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,33300,0.0028435477467958,1.792842914001591,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Purple_3886,KZDOO,Чехлы,Чехол для смартфона,2690.0,4590.0,5.0,0.36,0.1,0,C,Z,CZ,2690,0.0002297040071735,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
GGG_Purple_5110,KZDOO,Чехлы,Чехол для смартфона,6580.0,11990.0,4.6,0.36,0.1,0,A,Z,AZ,19740,0.0016856346102627,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Purple_5633,KZDOO,Чехлы,Чехол для смартфона,2380.0,7900.0,4.9,0.36,0.1,0,B,Z,BZ,9520,0.0008129301666515,2.110469528956308,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
FFF_Purple_2135,KZDOO,Чехлы,Чехол для смартфона,7180.0,11990.0,4.6,0.36,0.1,0,A,Z,AZ,35900,0.0030655664897888,1.5523412362008124,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Titanium_4017,KZDOO,Чехлы,Чехол для смартфона,7180.0,11990.0,4.6,0.36,0.1,0,A,Z,AZ,21540,0.0018393398938733,1.673624930551426,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Blue_5870,KZDOO,Чехлы,Чехол для смартфона,2780.0,11990.0,4.4,0.36,0.1,0,A,Z,AZ,22240,0.001899114170833,1.0738365797457263,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Blue_7114,KZDOO,Чехлы,Чехол для смартфона,2980.0,11990.0,4.5,0.36,0.1,0,A,Z,AZ,11920,0.0010178705447989,1.3125000000000002,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_White_3643,KEEPHONE,Чехлы,Чехол для смартфона,2050.0,2990.0,5.0,0.4,0.1,0,A,Z,AZ,14350,0.0012253726776732,1.3034491136353326,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_White_5000,KZDOO,Чехлы,Чехол для смартфона,3290.0,4990.0,4.6,0.36,0.1,0,B,Z,BZ,9870,0.0008428173051313,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
EEE_Titanium_7662,KEEPHONE,Чехлы,Чехол для смартфона,6990.0,11990.0,4.4,0.39,0.1,0,A,Z,AZ,34950,0.0029844442567721,1.948557158514988,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Pink_4218,KZDOO,Чехлы,Чехол для смартфона,6738.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,20214,0.0017261103349468,1.984313483298443,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_White_9121,KEEPHONE,Чехлы,Чехол для смартфона,7580.0,11990.0,5.0,0.6,0.1,0,A,Z,AZ,15160,0.001294540055298,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Blue_8287,KZDOO,Чехлы,Чехол для смартфона,3100.0,11990.0,2.3,0.36,0.1,0,B,Z,BZ,9300,0.0007941439653213,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
FFF_Blue_9955,Robiton,Батарейки и аккумуляторы,Батарейка,640.0,2900.0,4.8,0.01,0.1,0,C,Z,CZ,2560,0.0002186030700239,2.210592397978424,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
DDD_Black_4197,KZDOO,Чехлы,Чехол для смартфона,5990.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,17970,0.001534491081379,1.6770509831248424,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Green_5531,KZDOO,Чехлы,Чехол для смартфона,5500.0,11000.0,0.0,0.36,0.1,0,A,Z,AZ,22000,0.0018786201330182,1.299038105676658,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Titanium_1713,KZDOO,Чехлы,Чехол для смартфона,3100.0,11990.0,4.9,0.36,0.1,0,B,Z,BZ,6200,0.0005294293102142,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
FFF_Titanium_1292,KEEPHONE,Чехлы,Чехол для смартфона,3100.0,3990.0,4.4,0.28,0.1,0,A,Z,AZ,12400,0.0010588586204284,1.4051653980647143,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_White_3457,Нет бренда,Чехлы,Чехол для смартфона,1000.0,1900.0,5.0,0.08,0.1,0,C,Z,CZ,1000,8.539182422810274e-05,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
FFF_Black_3829,KZDOO,Чехлы,Чехол для смартфона,11100.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,55500,0.0047392462446597,1.877294514421632,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Green_7276,Robiton,Батарейки и аккумуляторы,Батарейка,1420.0,4900.0,4.9,0.03,0.1,0,C,Z,CZ,4260,0.0003637691712117,1.518481189862733,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
BBB_Pink_3387,KZDOO,Чехлы,Чехол для смартфона,11100.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,33300,0.0028435477467958,1.5874507866387544,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Pink_2372,K-DOO,Чехлы,Чехол для наушников,4980.0,11990.0,4.9,0.27,0.1,0,A,Z,AZ,19920,0.0017010051386238,1.5,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Purple_8018,Robiton,Батарейки и аккумуляторы,Аккумуляторная батарейка,3380.0,11990.0,4.8,0.02,0.1,0,B,Z,BZ,6760,0.0005772487317819,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
CCC_Titanium_5935,KZDOO,Чехлы,Чехол для смартфона,2200.0,7900.0,4.9,0.36,0.1,0,C,Z,CZ,4400,0.0003757240266036,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
DDD_Clear_7450,KZDOO,Чехлы,Чехол для смартфона,6580.0,11990.0,4.5,0.36,0.1,0,A,Z,AZ,13160,0.0011237564068418,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Clear_4137,KZDOO,Чехлы,Чехол для смартфона,3100.0,11990.0,4.6,0.36,0.1,0,C,Z,CZ,3100,0.0002647146551071,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
GGG_Pink_6405,KZDOO,Чехлы,Чехол для смартфона,2700.0,11990.0,4.3,1.58,0.3,0,B,Z,BZ,5400,0.0004611158508317,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
CCC_Purple_8000,KZDOO,Чехлы,Чехол для смартфона,5580.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,11160,0.0009529727583856,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Pink_7994,KEEPHONE,Чехлы,Чехол для смартфона,2750.0,3990.0,5.0,0.38,0.1,0,C,Z,CZ,2750,0.0002348275166272,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
DDD_Black_2486,Robiton,Батарейки и аккумуляторы,Батарейка,660.0,2900.0,4.9,0.01,0.1,0,C,Z,CZ,4620,0.0003945102279338,0.9486832980505138,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
CCC_Black_9304,KZDOO,Чехлы,Чехол для смартфона,6180.0,11990.0,4.9,0.36,0.1,0,B,Z,BZ,6180,0.0005277214737296,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
GGG_Green_9259,KEEPHONE,Чехлы,Чехол для смартфона,2990.0,4750.0,5.0,0.28,0.1,0,B,Z,BZ,8970,0.000765964663326,1.792842914001591,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
HHH_Red_3959,KZDOO,Чехлы,Чехол для смартфона,6580.0,11990.0,4.5,0.36,0.1,0,A,Z,AZ,13160,0.0011237564068418,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Titanium_6837,KZDOO,Чехлы,Чехол для смартфона,2550.0,2550.0,0.0,0.36,0.1,0,B,Z,BZ,7650,0.0006532474553449,1.5452362609131385,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
BBB_Green_4107,KZDOO,Чехлы,Чехол для смартфона,7180.0,11990.0,4.6,0.36,0.1,0,A,Z,AZ,35900,0.0030655664897888,1.3416407864998738,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Purple_8028,KZDOO,Чехлы,Чехол для смартфона,2580.0,11990.0,4.7,0.36,0.1,0,C,Z,CZ,5160,0.000440621813017,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
HHH_Pink_4655,KZDOO,Чехлы,Чехол для смартфона,4990.0,4990.0,0.0,0.36,0.1,0,B,Z,BZ,9980,0.0008522104057964,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
AAA_Pink_1762,KEEPHONE,Чехлы,Чехол для смартфона,6580.0,11990.0,5.0,0.38,0.1,0,A,Z,AZ,19740,0.0016856346102627,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Green_5033,KZDOO,Чехлы,Чехол для смартфона,7300.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,36500,0.0031168015843257,1.699721522614181,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Pink_7909,KZDOO,Чехлы,Чехол для смартфона,7180.0,11990.0,4.6,0.36,0.1,0,A,Z,AZ,21540,0.0018393398938733,1.792842914001591,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Blue_9302,KZDOO,Чехлы,Чехол для смартфона,2890.0,3990.0,5.0,0.36,0.1,0,B,Z,BZ,5780,0.0004935647440384,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
EEE_Pink_8352,KZDOO,Чехлы,Чехол для смартфона,5580.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,16740,0.0014294591375784,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Pink_8103,KEEPHONE,Чехлы,Чехол для смартфона,5780.0,11990.0,4.9,0.28,0.1,0,A,Z,AZ,17340,0.0014806942321153,1.792842914001591,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Pink_8063,KZDOO,Чехлы,Чехол для смартфона,2200.0,7900.0,5.0,0.36,0.1,0,C,Z,CZ,2200,0.0001878620133018,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
GGG_Clear_8444,KZDOO,Чехлы,Чехол для смартфона,4700.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,32900,0.0028093910171045,0.975,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Pink_1311,KZDOO,Чехлы,Чехол для смартфона,3600.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,10800,0.0009222317016635,1.5223337347638328,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Red_7696,KZDOO,Чехлы,Чехол для смартфона,7828.0,11990.0,4.6,0.36,0.1,0,A,Z,AZ,31312,0.0026737888002303,1.4142135623730951,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Titanium_6310,KZDOO,Чехлы,Чехол для смартфона,5500.0,11000.0,0.0,0.36,0.1,0,A,Z,AZ,33000,0.0028179301995273,1.2727922061357857,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Red_9074,KZDOO,Чехлы,Чехол для смартфона,7380.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,22140,0.0018905749884101,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Green_5116,KZDOO,Чехлы,Чехол для смартфона,7380.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,22140,0.0018905749884101,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Black_1662,KZDOO,Чехлы,Чехол для смартфона,11100.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,33300,0.0028435477467958,1.5,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Titanium_7137,KZDOO,Чехлы,Чехол для смартфона,6580.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,13160,0.0011237564068418,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Red_8358,KEEPHONE,Чехлы,Чехол для смартфона,2690.0,4750.0,0.0,0.28,0.1,0,B,Z,BZ,8070,0.0006891120215207,1.5223337347638328,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
BBB_Green_9675,KZDOO,Чехлы,Чехол для смартфона,5300.0,11990.0,0.0,0.36,0.1,0,A,Z,AZ,31800,0.0027154600104536,1.6102091284985316,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Blue_8197,KZDOO,Чехлы,Чехол для смартфона,6000.0,11000.0,0.0,0.36,0.1,0,A,Z,AZ,30000,0.002561754726843,1.3125000000000002,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Black_5621,KZDOO,Чехлы,Чехол для смартфона,3180.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,12720,0.0010861840041814,1.7320508075688772,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Titanium_9028,KZDOO,Чехлы,Чехол для смартфона,3380.0,11990.0,4.9,0.36,0.1,0,B,Z,BZ,10140,0.0008658730976729,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
CCC_Black_8407,KZDOO,Чехлы,Чехол для смартфона,4980.0,11990.0,4.2,0.36,0.1,0,A,Z,AZ,24900,0.0021262564232797,1.14090003618283,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Titanium_2565,KZDOO,Чехлы,Чехол для смартфона,5500.0,11000.0,0.0,0.36,0.1,0,A,Z,AZ,22000,0.0018786201330182,1.5874507866387544,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Black_8066,KZDOO,Чехлы,Чехол для смартфона,7300.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,21900,0.0018700809505954,1.518481189862733,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Green_3323,Robiton,Батарейки и аккумуляторы,Батарейка,1250.0,1990.0,4.7,0.14,0.2,0,C,Z,CZ,3750,0.0003202193408553,1.6770509831248424,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
BBB_Clear_1809,REMAX,Защитные пленки и стекла,Защитное стекло,1320.0,4900.0,0.0,0.17,0.1,0,C,Z,CZ,1320,0.000112717207981,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
FFF_Red_8901,KZDOO,Чехлы,Чехол для смартфона,11100.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,11100,0.0009478492489319,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Blue_1183,K-DOO,Чехлы,Чехол для смартфона,7180.0,11990.0,4.7,0.36,0.1,0,B,Z,BZ,7180,0.0006131132979577,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
HHH_Clear_2252,KZDOO,Чехлы,Чехол для смартфона,6420.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,25680,0.0021928620461776,1.7684739183827394,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Black_2767,KZDOO,Чехлы,Чехол для смартфона,5648.0,11990.0,4.3,0.36,0.1,0,A,Z,AZ,22592,0.0019291720929612,1.572622172000563,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Clear_6193,KZDOO,Чехлы,Чехол для смартфона,3490.0,3490.0,0.0,1.32,0.3,0,A,Z,AZ,13960,0.0011920698662243,2.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Titanium_3952,KZDOO,Чехлы,Чехол для смартфона,3490.0,3490.0,0.0,0.36,0.1,0,A,Z,AZ,13960,0.0011920698662243,1.3829316685939332,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Purple_9523,KZDOO,Чехлы,Чехол для смартфона,4980.0,11990.0,4.7,0.36,0.1,0,C,Z,CZ,4980,0.0004252512846559,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
FFF_Purple_6937,KEEPHONE,Чехлы,Чехол для смартфона,5990.0,11990.0,4.9,0.41,0.1,0,A,Z,AZ,29950,0.0025574851356316,1.8493242008906927,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Green_8669,KZDOO,Чехлы,Чехол для смартфона,3980.0,11990.0,4.8,0.36,0.1,0,C,Z,CZ,3980,0.0003398594604278,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
BBB_Black_9984,KZDOO,Чехлы,Чехол для смартфона,3980.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,15920,0.0013594378417113,1.3228756555322954,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Blue_8334,K-DOO,Чехлы,Чехол для смартфона,5500.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,27500,0.0023482751662728,1.875,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Titanium_6779,K-DOO,Чехлы,Чехол для смартфона,1600.0,7900.0,4.9,0.36,0.1,0,C,Z,CZ,3200,0.0002732538375299,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
HHH_Black_7735,KZDOO,Чехлы,Чехол для смартфона,7180.0,11990.0,4.6,0.36,0.1,0,A,Z,AZ,43080,0.0036786797877466,1.290170847727746,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Titanium_6370,KZDOO,Чехлы,Чехол для смартфона,2780.0,11990.0,4.9,0.36,0.1,0,B,Z,BZ,5560,0.0004747785427082,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
GGG_Clear_4848,Robiton,Батарейки и аккумуляторы,Батарейка,720.0,2900.0,5.0,0.01,0.1,0,C,Z,CZ,720,6.148211344423398e-05,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
AAA_Black_2397,KZDOO,Чехлы,Чехол для смартфона,7300.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,14600,0.0012467206337303,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Green_2528,KZDOO,Чехлы,Чехол для смартфона,4300.0,11990.0,5.0,1.4,0.3,0,A,Z,AZ,21500,0.0018359242209042,1.153846153846154,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Blue_8965,KZDOO,Чехлы,Чехол для смартфона,4100.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,20500,0.0017505323966761,1.9315453261414228,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Purple_9330,KZDOO,Чехлы,Чехол для смартфона,11100.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,33300,0.0028435477467958,1.824828759089466,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_White_1844,KZDOO,Чехлы,Чехол для смартфона,4990.0,4990.0,0.0,0.36,0.1,0,A,Z,AZ,19960,0.0017044208115929,1.2533977489846402,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Blue_9107,KZDOO,Чехлы,Чехол для смартфона,4980.0,11990.0,4.8,0.36,0.1,0,C,Z,CZ,4980,0.0004252512846559,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
AAA_Clear_6434,Robiton,Батарейки и аккумуляторы,Аккумуляторная батарейка,3600.0,11990.0,4.7,0.03,0.1,0,A,Z,AZ,14400,0.0012296422688846,1.5874507866387544,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Purple_7302,Robiton,Батарейки и аккумуляторы,Аккумуляторная батарейка,4600.0,11990.0,5.0,0.11,0.1,0,A,Z,AZ,23000,0.0019640119572463,1.7042114700628783,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Purple_3039,KZDOO,Чехлы,Чехол для смартфона,9980.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,29940,0.0025566312173893,1.7320508075688772,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Red_4713,Нет бренда,Чехлы,Чехол для смартфона,2000.0,7900.0,0.0,0.08,0.1,0,B,Z,BZ,8000,0.0006831345938248,1.3228756555322954,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
HHH_Red_3772,K-DOO,Чехлы,Чехол для смартфона,2700.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,10800,0.0009222317016635,2.210592397978424,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Clear_7819,Неизвестно,Чехлы,Неизвестно,9100.0,11990.0,4.8,0.36,0.1,0,B,Z,BZ,9100,0.0007770656004757,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
AAA_Red_8661,KZDOO,Чехлы,Чехол для смартфона,7300.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,29200,0.0024934412674606,1.2278029157808674,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Clear_9841,KZDOO,Чехлы,Чехол для смартфона,4990.0,4990.0,0.0,0.36,0.1,0,B,Z,BZ,9980,0.0008522104057964,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
EEE_Clear_4552,KZDOO,Чехлы,Чехол для смартфона,3490.0,3490.0,0.0,0.36,0.1,0,A,Z,AZ,10470,0.0008940523996682,1.5347536447260846,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Pink_9594,KZDOO,Чехлы,Чехол для смартфона,3490.0,3490.0,0.0,1.32,0.3,0,A,Z,AZ,10470,0.0008940523996682,1.792842914001591,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Red_2568,KZDOO,Чехлы,Чехол для смартфона,7180.0,11990.0,4.6,0.36,0.1,0,B,Z,BZ,7180,0.0006131132979577,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
DDD_Pink_4647,K-DOO,Чехлы,Чехол для смартфона,7300.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,21900,0.0018700809505954,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_White_7199,KZDOO,Чехлы,Чехол для смартфона,9990.0,14990.0,0.0,0.36,0.1,0,A,Z,AZ,39960,0.0034122572961549,1.5874507866387544,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Blue_2194,KZDOO,Чехлы,Чехол для смартфона,11100.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,22200,0.0018956984978638,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Red_9072,KZDOO,Чехлы,Чехол для смартфона,1550.0,11990.0,4.8,0.36,0.1,0,C,Z,CZ,4650,0.0003970719826606,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
FFF_Pink_3549,KZDOO,Чехлы,Чехол для смартфона,3380.0,11990.0,4.1,0.36,0.1,0,B,Z,BZ,6760,0.0005772487317819,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
EEE_White_3357,KZDOO,Чехлы,Чехол для смартфона,4990.0,4990.0,0.0,0.36,0.1,0,A,Z,AZ,19960,0.0017044208115929,1.3125000000000002,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Blue_6496,KEEPHONE,Чехлы,Чехол для смартфона,6990.0,8990.0,4.8,0.41,0.1,0,A,Z,AZ,13980,0.0011937777027088,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Pink_5159,KZDOO,Чехлы,Чехол для смартфона,9980.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,39920,0.0034088416231858,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Blue_3473,KZDOO,Чехлы,Чехол для смартфона,2980.0,11990.0,4.5,0.36,0.1,0,B,Z,BZ,8940,0.0007634029085992,1.5874507866387544,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
HHH_Titanium_9363,KZDOO,Чехлы,Чехол для смартфона,2550.0,2550.0,0.0,0.36,0.1,0,A,Z,AZ,17850,0.0015242440624716,1.0060371397933572,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Red_8930,KZDOO,Чехлы,Чехол для смартфона,2100.0,3850.0,5.0,0.36,0.1,0,C,Z,CZ,4200,0.000358645661758,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
AAA_Blue_9288,Robiton,Батарейки и аккумуляторы,Батарейка,600.0,2900.0,4.9,0.01,0.1,0,C,Z,CZ,600,5.123509453686164e-05,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
DDD_Blue_8362,KEEPHONE,Чехлы,Чехол для смартфона,6580.0,11990.0,5.0,0.38,0.1,0,A,Z,AZ,19740,0.0016856346102627,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Green_9078,KZDOO,Чехлы,Чехол для смартфона,7180.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,35900,0.0030655664897888,2.1560984046602583,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_White_1350,REMAX,Защитные пленки и стекла,Защитное стекло,660.0,1490.0,5.0,0.34,0.1,0,A,Z,AZ,14372,0.0012272512978062,1.792842914001591,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Red_3217,KZDOO,Чехлы,Чехол для смартфона,2900.0,11990.0,4.4,0.36,0.1,0,B,Z,BZ,5800,0.0004952725805229,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
