Номер отправления,Статус отправления,Ozon ID,Артикул товара,Итоговая стоимость,Количество товаров в отправлении,Скидка %,Акции,Регион доставки,Способ доставки,Сумма отправления,"Скидка, руб.",Вознаграждение %,"Вознаграждение, руб.",Стоимость доставки,К выплате,Склад отгрузки,Дата логистической операции,date,discount_rub,commission_rub,payout,sku,customer_id,order_id,revenue,quantity,discount_percent,shipment_amount,commission_percent,delivery_cost,estimated_cost,profit,margin,Артикул,Ozon Product ID,SKU,Barcode,Контент-рейтинг,Бренд,Метки,Отзывы,Рейтинг,Категория,Тип,"Объем товара, л","Объемный вес, кг","Доступно к продаже по схеме FBO, шт.","Зарезервировано, шт","Доступно к продаже по схеме FBS, шт.","Доступно к продаже по схеме realFBS, шт.","Зарезервировано на моих складах, шт","Текущая цена с учетом скидки, ₽","Цена до скидки (перечеркнутая цена), ₽","Цена Premium, ₽","Размер НДС, %",rating,volume_l,volume_weight_kg,vat_percent,current_price,original_price,has_discount,discount_size
ORD976716,Доставлен,14773482,DDD_White_5541,5990,3,20,Новогодняя распродажа,д. Шереметьево,ПВЗ,17970,1198,11,"1976,7",483,"14312,3",Склад 2,06.03.2025,2025-03-06,1198.0,1976.7,14312.3,DDD_White_5541,14773482,ORD976716,5990,3,20,17970,11,483,3594.0,10568.3,1.0,DDD_White_5541,14773482,443032946,"1,97248E+12",'77.5,KZDOO,,1,'4.90,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,0,0,0,5990.0,11990.0,,0%,4.9,0.36,0.1,0,5990.0,11990.0,True,0.5004170141784821
ORD878197,Отменен,98575820,EEE_Red_5832,1800,1,5,Черная пятница,с. Щелково,Постамат,1800,90,12,216,483,1011,Склад 1,14.09.2025,2025-09-14,90.0,216.0,1011.0,EEE_Red_5832,98575820,ORD878197,1800,1,5,1800,12,483,1080.0,-119.0,-0.0661111111111111,EEE_Red_5832,98575820,432329150,RND840246149,'77.5,K-DOO,,55,'4.80,Чехлы,Чехол для смартфона,'0.36,'0.1,5,0,8,0,0,1800.0,11990.0,,0%,4.8,0.36,0.1,0,1800.0,11990.0,True,0.8498748957464554
ORD710471,Доставлен,80718283,DDD_White_2968,7980,3,15,Новогодняя распродажа,д. Валдай,Курьер,23940,1197,12,"2872,8",276,"19594,2",Склад 2,07.01.2025,2025-01-07,1197.0,2872.8,19594.2,DDD_White_2968,80718283,ORD710471,7980,3,15,23940,12,276,4788.0,14656.2,1.0,DDD_White_2968,80718283,719794414,RND329045730,'70,KEEPHONE,,15,'4.90,Чехлы,Чехол для смартфона,'0.38,'0.1,2,0,0,0,0,7980.0,11990.0,,0%,4.9,0.38,0.1,0,7980.0,11990.0,True,0.33444537114261885
ORD610593,Доставлен,68455110,AAA_Purple_5764,4980,2,20,Новогодняя распродажа,г. Апрелевка,Курьер,9960,996,10,996,357,7611,Склад 3,18.08.2025,2025-08-18,996.0,996.0,7611.0,AAA_Purple_5764,68455110,ORD610593,4980,2,20,9960,10,357,2988.0,4523.0,0.9082329317269077,AAA_Purple_5764,68455110,297295898,RND178375554,'45,KZDOO,,6,'4.20,Чехлы,Чехол для смартфона,'0.36,'0.1,8,0,10,0,0,4980.0,11990.0,,0%,4.2,0.36,0.1,0,4980.0,11990.0,True,0.5846538782318599
ORD991813,В пути,32639679,EEE_Blue_5688,6990,3,5,Новогодняя распродажа,ст. Ижевск,ПВЗ,20970,"349,5",16,"3355,2",339,"16926,3",Склад 1,11.01.2025,2025-01-11,349.5,3355.2,16926.3,EEE_Blue_5688,32639679,ORD991813,6990,3,5,20970,16,339,4194.0,12582.3,1.0,EEE_Blue_5688,32639679,790770098,"8,36397E+12",'70,KEEPHONE,,8,'4.90,Чехлы,Чехол для смартфона,'0.41,'0.1,0,0,0,0,0,6990.0,8990.0,,0%,4.9,0.41,0.1,0,6990.0,8990.0,True,0.22246941045606228
ORD732956,Доставлен,84863522,GGG_Clear_4484,2460,4,0,Новогодняя распродажа,д. Красноуфимск,ПВЗ,9840,0,16,"1574,4",240,"8025,6",Склад 2,02.09.2025,2025-09-02,0.0,1574.4,8025.6,GGG_Clear_4484,84863522,ORD732956,2460,4,0,9840,16,240,1476.0,6349.6,1.0,GGG_Clear_4484,84863522,101052240,"8,94582E+12",'70,Robiton,,109,'4.80,Батарейки и аккумуляторы,Батарейка,'0.11,'0.1,52,0,100,0,0,2460.0,11990.0,,0%,4.8,0.11,0.1,0,2460.0,11990.0,True,0.7948290241868223
ORD926494,Отменен,36890351,AAA_White_3056,5180,4,10,Черная пятница,клх Чусовой,ПВЗ,20720,518,16,"3315,2",277,"16609,8",Склад 1,09.09.2025,2025-09-09,518.0,3315.2,16609.8,AAA_White_3056,36890351,ORD926494,5180,4,10,20720,16,277,3108.0,13301.8,1.0,AAA_White_3056,36890351,985931484,"5,75956E+12",'45,KZDOO,,6,'4.20,Чехлы,Чехол для смартфона,'0.36,'0.1,24,0,10,0,0,5180.0,11990.0,,0%,4.2,0.36,0.1,0,5180.0,11990.0,True,0.5679733110925771
ORD184240,Доставлен,74588621,HHH_Titanium_9363,2550,1,10,Нет,д. Нарткала,Курьер,2550,255,10,255,125,1915,Склад 1,16.02.2025,2025-02-16,255.0,255.0,1915.0,HHH_Titanium_9363,74588621,ORD184240,2550,1,10,2550,10,125,1530.0,335.0,0.13137254901960785,HHH_Titanium_9363,74588621,279493888,RND790351119,'40,KZDOO,,0,'0.00,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,0,0,0,2550.0,2550.0,,0%,0.0,0.36,0.1,0,2550.0,2550.0,False,0.0
ORD281527,В пути,55765055,FFF_Clear_1289,2980,3,10,Новогодняя распродажа,п. Усолье Сибирское,Постамат,8940,298,10,894,418,7330,Склад 2,03.05.2025,2025-05-03,298.0,894.0,7330.0,FFF_Clear_1289,55765055,ORD281527,2980,3,10,8940,10,418,1788.0,5392.0,1.0,FFF_Clear_1289,55765055,467841969,RND944451733,'70,KZDOO,,77,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,85,0,0,0,0,2980.0,11990.0,,0%,4.7,0.36,0.1,0,2980.0,11990.0,True,0.7514595496246872
ORD979989,В пути,88223836,EEE_Red_9650,7500,1,20,Черная пятница,клх Павловская,Постамат,7500,1500,12,900,196,4904,Склад 3,24.03.2025,2025-03-24,1500.0,900.0,4904.0,EEE_Red_9650,88223836,ORD979989,7500,1,20,7500,12,196,4500.0,354.0,0.0472,EEE_Red_9650,88223836,750742797,"4,19974E+12",'77.5,KZDOO,,32,'4.90,Чехлы,Чехол для смартфона,'0.36,'0.1,6,0,10,0,0,7500.0,11990.0,,0%,4.9,0.36,0.1,0,7500.0,11990.0,True,0.37447873227689743
ORD722445,Отменен,38137830,CCC_Titanium_4802,5380,1,5,Нет,ст. Лянтор,ПВЗ,5380,269,12,"645,6",284,"4181,4",Склад 2,21.08.2025,2025-08-21,269.0,645.6,4181.4,CCC_Titanium_4802,38137830,ORD722445,5380,1,5,5380,12,284,3228.0,903.3999999999996,0.16791821561338283,CCC_Titanium_4802,38137830,832809103,RND330444403,'77.5,KZDOO,,2,'5.00,Чехлы,Чехол для смартфона,'0.36,'0.1,24,0,0,0,0,5380.0,11990.0,,0%,5.0,0.36,0.1,0,5380.0,11990.0,True,0.5512927439532944
ORD423067,В пути,28610359,GGG_Black_5174,3162,2,20,Нет,к. Саранск,Постамат,6324,"632,4",17,"1075,08",292,"4324,52",Склад 2,07.08.2025,2025-08-07,632.4,1075.08,4324.52,GGG_Black_5174,28610359,ORD423067,3162,2,20,6324,17,292,1897.1999999999998,2327.3200000000006,0.7360278304870337,GGG_Black_5174,28610359,947961029,RND785755558,'77.5,KZDOO,,75,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,30,0,9,0,0,3162.0,11990.0,,0%,4.7,0.36,0.1,0,3162.0,11990.0,True,0.7362802335279399
ORD695202,Доставлен,37203467,GGG_Purple_7207,6580,2,15,Нет,клх Хасан,Постамат,13160,987,11,"1447,6",324,"10401,4",Склад 2,16.07.2025,2025-07-16,987.0,1447.6,10401.4,GGG_Purple_7207,37203467,ORD695202,6580,2,15,13160,11,324,3948.0,6353.4,0.965562310030395,GGG_Purple_7207,37203467,377351632,RND490377944,'57.5,KZDOO,,17,'4.50,Чехлы,Чехол для смартфона,'0.36,'0.1,1,0,0,0,0,6580.0,11990.0,,0%,4.5,0.36,0.1,0,6580.0,11990.0,True,0.451209341117598
ORD547155,В пути,51575941,DDD_Purple_5314,3380,4,0,Новогодняя распродажа,клх Соль-Илецк,ПВЗ,13520,0,10,1352,427,11741,Склад 1,20.09.2025,2025-09-20,0.0,1352.0,11741.0,DDD_Purple_5314,51575941,ORD547155,3380,4,0,13520,10,427,2028.0,9513.0,1.0,DDD_Purple_5314,51575941,903682934,"4,79671E+12",'70,KZDOO,,12,'4.10,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,0,0,0,3380.0,11990.0,,0%,4.1,0.36,0.1,0,3380.0,11990.0,True,0.7180984153461217
ORD888093,Отменен,70326795,FFF_Purple_9422,11100,1,0,Новогодняя распродажа,п. Бугульма,ПВЗ,11100,0,13,1443,376,9281,Склад 3,06.04.2025,2025-04-06,0.0,1443.0,9281.0,FFF_Purple_9422,70326795,ORD888093,11100,1,0,11100,13,376,6660.0,2571.0,0.23162162162162162,FFF_Purple_9422,70326795,954812282,RND955802459,'70,Неизвестно,,1,'5.00,Чехлы,Неизвестно,'0.36,'0.1,2,0,0,0,0,11100.0,11990.0,,0%,5.0,0.36,0.1,0,11100.0,11990.0,True,0.07422852376980818
ORD763851,В пути,71130502,FFF_Black_4039,9990,4,10,Нет,с. Тулун,Курьер,39960,999,14,"5594,4",365,"33001,6",Склад 3,30.03.2025,2025-03-30,999.0,5594.4,33001.6,FFF_Black_4039,71130502,ORD763851,9990,4,10,39960,14,365,5994.0,26807.6,1.0,FFF_Black_4039,71130502,308166993,"7,45959E+12",'45,KZDOO,,0,'0.00,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,10,0,0,9990.0,14990.0,,0%,0.0,0.36,0.1,0,9990.0,14990.0,True,0.333555703802535
ORD220839,В пути,27574394,AAA_Purple_7824,2000,3,10,Нет,к. Дудинка,Курьер,6000,200,14,840,310,4650,Склад 1,06.06.2025,2025-06-06,200.0,840.0,4650.0,AAA_Purple_7824,27574394,ORD220839,2000,3,10,6000,14,310,1200.0,3300.0,1.0,AAA_Purple_7824,27574394,238993160,"9,95299E+12",'82.5,Нет бренда,,1,'5.00,Чехлы,Чехол для смартфона,'0.08,'0.1,0,0,3,0,0,2000.0,7900.0,,0%,5.0,0.08,0.1,0,2000.0,7900.0,True,0.7468354430379747
ORD711636,В пути,84822158,BBB_Blue_9580,5500,1,10,Нет,г. Партизанск,Курьер,5500,550,18,990,138,3822,Склад 3,01.03.2025,2025-03-01,550.0,990.0,3822.0,BBB_Blue_9580,84822158,ORD711636,5500,1,10,5500,18,138,3300.0,472.0,0.08581818181818182,BBB_Blue_9580,84822158,434244204,RND363379352,'77.5,K-DOO,,26,'4.80,Чехлы,Чехол для смартфона,'0.36,'0.1,8,0,0,0,0,5500.0,11990.0,,0%,4.8,0.36,0.1,0,5500.0,11990.0,True,0.5412844036697247
ORD999647,Отменен,62425327,DDD_Titanium_2708,7180,1,5,Нет,п. Троицк (Моск.),Курьер,7180,359,10,718,260,5843,Склад 2,27.06.2025,2025-06-27,359.0,718.0,5843.0,DDD_Titanium_2708,62425327,ORD999647,7180,1,5,7180,10,260,4308.0,1485.0,0.20682451253481896,DDD_Titanium_2708,62425327,716280479,RND674348154,'45,KZDOO,,2,'4.60,Чехлы,Чехол для смартфона,'0.36,'0.1,5,0,0,0,0,7180.0,11990.0,,0%,4.6,0.36,0.1,0,7180.0,11990.0,True,0.4011676396997498
ORD538396,В пути,43747379,GGG_Pink_7385,2980,3,15,Нет,клх Магадан,Постамат,8940,447,17,"1519,8",482,"6491,2",Склад 3,30.07.2025,2025-07-30,447.0,1519.8,6491.2,GGG_Pink_7385,43747379,ORD538396,2980,3,15,8940,17,482,1788.0,4553.2,1.0,GGG_Pink_7385,43747379,877245781,RND207713966,'82.5,KZDOO,,0,'4.50,Чехлы,Чехол для смартфона,'0.36,'0.1,11,0,0,0,0,2980.0,11990.0,,0%,4.5,0.36,0.1,0,2980.0,11990.0,True,0.7514595496246872
ORD550209,В пути,52308782,AAA_Clear_6277,3980,3,15,Нет,ст. Октябрьское (Хант.),Постамат,11940,597,13,"1552,2",498,"9292,8",Склад 1,20.07.2025,2025-07-20,597.0,1552.2,9292.8,AAA_Clear_6277,52308782,ORD550209,3980,3,15,11940,13,498,2388.0,6754.799999999999,1.0,AAA_Clear_6277,52308782,415309425,"3,17914E+12",'70,KZDOO,,17,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,5,0,10,0,0,3980.0,11990.0,,0%,4.7,0.36,0.1,0,3980.0,11990.0,True,0.6680567139282736
ORD861330,Доставлен,30155466,GGG_Red_1294,5580,4,15,Черная пятница,д. Снежинск,Курьер,22320,837,13,"2901,6",392,"18189,4",Склад 3,20.08.2025,2025-08-20,837.0,2901.6,18189.4,GGG_Red_1294,30155466,ORD861330,5580,4,15,22320,13,392,3348.0,14641.400000000001,1.0,GGG_Red_1294,30155466,381179813,RND942220007,'45,KZDOO,,2,'4.90,Чехлы,Чехол для смартфона,'0.36,'0.1,8,0,0,0,0,5580.0,11990.0,,0%,4.9,0.36,0.1,0,5580.0,11990.0,True,0.5346121768140116
ORD404302,Отменен,84839270,FFF_Black_2376,2890,4,15,Нет,д. Щельяюр,Курьер,11560,"433,5",19,"2196,4",191,"8739,1",Склад 1,10.03.2025,2025-03-10,433.5,2196.4,8739.1,FFF_Black_2376,84839270,ORD404302,2890,4,15,11560,19,191,1734.0,6805.1,1.0,FFF_Black_2376,84839270,801176706,RND164146660,'77.5,KZDOO,,17,'5.00,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,0,0,0,2890.0,3990.0,,0%,5.0,0.36,0.1,0,2890.0,3990.0,True,0.2756892230576441
ORD300626,В пути,58239097,FFF_Titanium_8411,7380,3,10,Новогодняя распродажа,г. Арсеньев,ПВЗ,22140,738,12,"2656,8",140,"18605,2",Склад 2,23.05.2025,2025-05-23,738.0,2656.8,18605.2,FFF_Titanium_8411,58239097,ORD300626,7380,3,10,22140,12,140,4428.0,14027.2,1.0,FFF_Titanium_8411,58239097,857019870,"3,61382E+12",'77.5,KZDOO,,21,'4.90,Чехлы,Чехол для смартфона,'0.36,'0.1,7,0,15,0,0,7380.0,11990.0,,0%,4.9,0.36,0.1,0,7380.0,11990.0,True,0.38448707256046705
ORD870685,Отменен,62741760,HHH_Titanium_3383,8990,4,0,Новогодняя распродажа,д. Лесной (Сверд.),Постамат,35960,0,16,"5753,6",265,"29941,4",Склад 1,17.01.2025,2025-01-17,0.0,5753.6,29941.4,HHH_Titanium_3383,62741760,ORD870685,8990,4,0,35960,16,265,5394.0,24347.4,1.0,HHH_Titanium_3383,62741760,960266028,"9,21541E+12",'77.5,KEEPHONE,,71,'4.80,Чехлы,Чехол для смартфона,'0.41,'0.1,0,0,0,0,0,8990.0,8990.0,,0%,4.8,0.41,0.1,0,8990.0,8990.0,False,0.0
ORD701184,В пути,10060494,EEE_Purple_5001,5180,3,10,Новогодняя распродажа,ст. Калязин,Постамат,15540,518,12,"1864,8",442,"12715,2",Склад 3,01.02.2025,2025-02-01,518.0,1864.8,12715.2,EEE_Purple_5001,10060494,ORD701184,5180,3,10,15540,12,442,3108.0,9457.2,1.0,EEE_Purple_5001,10060494,490710028,RND633247025,'70,KZDOO,,1,'4.30,Чехлы,Чехол для смартфона,'0.36,'0.1,3,0,0,0,0,5180.0,11990.0,,0%,4.3,0.36,0.1,0,5180.0,11990.0,True,0.5679733110925771
ORD555103,В пути,42624136,BBB_Green_8505,9180,1,15,Нет,ст. Кунгур,Курьер,9180,1377,15,1377,388,6038,Склад 2,14.07.2025,2025-07-14,1377.0,1377.0,6038.0,BBB_Green_8505,42624136,ORD555103,9180,1,15,9180,15,388,5508.0,480.0,0.05228758169934641,BBB_Green_8505,42624136,141175702,"4,80997E+12",'70,KZDOO,,9,'4.50,Чехлы,Чехол для смартфона,'0.36,'0.1,1,0,0,0,0,9180.0,11990.0,,0%,4.5,0.36,0.1,0,9180.0,11990.0,True,0.23436196830692244
ORD875748,В пути,37857061,AAA_Black_9470,2900,1,10,Новогодняя распродажа,д. Рыльск,Постамат,2900,290,17,493,453,1664,Склад 3,20.01.2025,2025-01-20,290.0,493.0,1664.0,AAA_Black_9470,37857061,ORD875748,2900,1,10,2900,17,453,1740.0,-126.0,-0.043448275862068966,AAA_Black_9470,37857061,380567032,"3,27868E+12",'70,KZDOO,,44,'4.70,Чехлы,Чехол для смартфона,'1.52,'0.3,8,2,10,0,0,2900.0,11990.0,,0%,4.7,1.52,0.3,0,2900.0,11990.0,True,0.7581317764804003
ORD830395,Доставлен,87949160,DDD_Blue_7114,2980,2,15,Черная пятница,клх Иваново,ПВЗ,5960,447,18,"1072,8",346,"4094,2",Склад 1,25.01.2025,2025-01-25,447.0,1072.8,4094.2,DDD_Blue_7114,87949160,ORD830395,2980,2,15,5960,18,346,1788.0,2206.2,0.7403355704697986,DDD_Blue_7114,87949160,246802416,RND261678701,'82.5,KZDOO,,4,'4.50,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,0,0,0,2980.0,11990.0,,0%,4.5,0.36,0.1,0,2980.0,11990.0,True,0.7514595496246872
ORD251412,Доставлен,99453640,CCC_Green_7311,11100,1,20,Нет,ст. Славгород,ПВЗ,11100,2220,18,1998,152,6730,Склад 2,05.08.2025,2025-08-05,2220.0,1998.0,6730.0,CCC_Green_7311,99453640,ORD251412,11100,1,20,11100,18,152,6660.0,20.0,0.0018018018018018018,CCC_Green_7311,99453640,311121353,RND739795782,'70,KZDOO,,0,'4.80,Чехлы,Чехол для смартфона,'0.36,'0.1,1,0,0,0,0,11100.0,11990.0,,0%,4.8,0.36,0.1,0,11100.0,11990.0,True,0.07422852376980818
ORD776411,Доставлен,80289394,GGG_Purple_5051,6580,3,0,Новогодняя распродажа,клх Таштагол,Постамат,19740,0,15,2961,145,16634,Склад 1,11.03.2025,2025-03-11,0.0,2961.0,16634.0,GGG_Purple_5051,80289394,ORD776411,6580,3,0,19740,15,145,3948.0,12536.0,1.0,GGG_Purple_5051,80289394,850247351,"1,20237E+12",'57.5,KZDOO,,2,'4.50,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,10,0,0,6580.0,11990.0,,0%,4.5,0.36,0.1,0,6580.0,11990.0,True,0.451209341117598
ORD651342,Отменен,31882676,CCC_Titanium_5561,4980,4,20,Черная пятница,клх Королев,Курьер,19920,996,12,"2390,4",119,"16414,6",Склад 3,24.03.2025,2025-03-24,996.0,2390.4,16414.6,CCC_Titanium_5561,31882676,ORD651342,4980,4,20,19920,12,119,2988.0,13226.599999999999,1.0,CCC_Titanium_5561,31882676,776028422,RND181520443,'70,KZDOO,,4,'4.40,Чехлы,Чехол для смартфона,'0.36,'0.1,35,0,0,0,0,4980.0,11990.0,,0%,4.4,0.36,0.1,0,4980.0,11990.0,True,0.5846538782318599
ORD111488,Отменен,87448383,AAA_Green_2528,4300,2,5,Черная пятница,к. Шахты,Постамат,8600,215,16,1376,326,6683,Склад 1,08.04.2025,2025-04-08,215.0,1376.0,6683.0,AAA_Green_2528,87448383,ORD111488,4300,2,5,8600,16,326,2580.0,4003.0,0.9309302325581396,AAA_Green_2528,87448383,290120045,RND258252620,'52.5,KZDOO,,43,'5.00,Чехлы,Чехол для смартфона,'1.40,'0.3,4,0,10,0,0,4300.0,11990.0,,0%,5.0,1.4,0.3,0,4300.0,11990.0,True,0.6413678065054211
ORD530101,Доставлен,15211947,DDD_Green_9844,6738,4,10,Новогодняя распродажа,к. Сортавала,ПВЗ,26952,"673,8",17,"4581,84",197,"21499,36",Склад 3,15.06.2025,2025-06-15,673.8,4581.84,21499.36,DDD_Green_9844,15211947,ORD530101,6738,4,10,26952,17,197,4042.7999999999997,17256.56,1.0,DDD_Green_9844,15211947,417686444,"2,18593E+12",'70,KZDOO,,77,'4.90,Чехлы,Чехол для смартфона,'0.36,'0.1,2,0,9,0,0,6738.0,11990.0,,0%,4.9,0.36,0.1,0,6738.0,11990.0,True,0.4380316930775646
ORD574186,Отменен,78108555,BBB_Green_2236,6050,3,5,Черная пятница,ст. Тверь,Курьер,18150,"302,5",10,1815,393,"15639,5",Склад 3,21.05.2025,2025-05-21,302.5,1815.0,15639.5,BBB_Green_2236,78108555,ORD574186,6050,3,5,18150,10,393,3630.0,11859.5,1.0,BBB_Green_2236,78108555,286493796,RND658353620,'70,KZDOO,,0,'5.00,Чехлы,Чехол для смартфона,'0.36,'0.1,4,0,0,0,0,6050.0,11990.0,,0%,5.0,0.36,0.1,0,6050.0,11990.0,True,0.4954128440366973
ORD313059,В пути,67732421,HHH_Black_7854,7300,1,10,Новогодняя распродажа,г. Усть-Калманка,Постамат,7300,730,14,1022,374,5174,Склад 2,15.04.2025,2025-04-15,730.0,1022.0,5174.0,HHH_Black_7854,67732421,ORD313059,7300,1,10,7300,14,374,4380.0,744.0,0.10191780821917808,HHH_Black_7854,67732421,631061423,"2,54681E+12",'45,K-DOO,,7,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,6,0,10,0,0,7300.0,11990.0,,0%,4.7,0.36,0.1,0,7300.0,11990.0,True,0.39115929941618016
ORD463773,В пути,58484682,GGG_Green_9626,4380,2,20,Черная пятница,п. Беломорск,Курьер,8760,876,18,"1576,8",227,"6080,2",Склад 2,04.06.2025,2025-06-04,876.0,1576.8,6080.2,GGG_Green_9626,58484682,ORD463773,4380,2,20,8760,18,227,2628.0,3352.2,0.7653424657534246,GGG_Green_9626,58484682,433418131,"8,59678E+12",'77.5,KZDOO,,32,'4.90,Чехлы,Чехол для смартфона,'0.36,'0.1,6,0,10,0,0,4380.0,11990.0,,0%,4.9,0.36,0.1,0,4380.0,11990.0,True,0.6346955796497081
ORD833189,В пути,84503528,EEE_Black_2767,5648,3,15,Нет,г. Каменномостский,Курьер,16944,"847,2",14,"2372,16",170,"13554,64",Склад 1,07.07.2025,2025-07-07,847.2,2372.16,13554.64,EEE_Black_2767,84503528,ORD833189,5648,3,15,16944,14,170,3388.7999999999997,10015.84,1.0,EEE_Black_2767,84503528,819990836,"1,84994E+12",'70,KZDOO,,1,'4.30,Чехлы,Чехол для смартфона,'0.36,'0.1,2,0,0,0,0,5648.0,11990.0,,0%,4.3,0.36,0.1,0,5648.0,11990.0,True,0.5289407839866556
ORD837197,Доставлен,51313051,DDD_Clear_9288,11100,2,15,Нет,клх Королев,ПВЗ,22200,1665,13,2886,140,17509,Склад 3,16.05.2025,2025-05-16,1665.0,2886.0,17509.0,DDD_Clear_9288,51313051,ORD837197,11100,2,15,22200,13,140,6660.0,10749.0,0.9683783783783784,DDD_Clear_9288,51313051,291178409,RND350601241,'70,KZDOO,,2,'4.80,Чехлы,Чехол для смартфона,'0.36,'0.1,4,0,10,0,0,11100.0,11990.0,,0%,4.8,0.36,0.1,0,11100.0,11990.0,True,0.07422852376980818
ORD600423,Отменен,69728328,HHH_Red_6449,1800,2,10,Нет,ст. Артем,Курьер,3600,180,18,648,394,2378,Склад 3,06.09.2025,2025-09-06,180.0,648.0,2378.0,HHH_Red_6449,69728328,ORD600423,1800,2,10,3600,18,394,1080.0,1198.0,0.6655555555555556,HHH_Red_6449,69728328,639690535,"2,77877E+12",'60,Panasonic,,229,'4.80,Батарейки и аккумуляторы,Батарейка,'0.22,'0.1,0,0,0,0,0,1800.0,4900.0,,0%,4.8,0.22,0.1,0,1800.0,4900.0,True,0.6326530612244898
ORD324256,Доставлен,25673692,HHH_Titanium_2410,8500,1,15,Нет,п. Серов,Постамат,8500,1275,11,935,280,6010,Склад 2,07.04.2025,2025-04-07,1275.0,935.0,6010.0,HHH_Titanium_2410,25673692,ORD324256,8500,1,15,8500,11,280,5100.0,860.0,0.1011764705882353,HHH_Titanium_2410,25673692,684628945,RND783300391,'52.5,KZDOO,,0,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,10,0,0,8500.0,11990.0,,0%,4.7,0.36,0.1,0,8500.0,11990.0,True,0.2910758965804837
ORD125621,Отменен,48103158,BBB_Blue_2666,2500,3,20,Нет,ст. Шаховская,Курьер,7500,500,12,900,229,5871,Склад 2,08.07.2025,2025-07-08,500.0,900.0,5871.0,BBB_Blue_2666,48103158,ORD125621,2500,3,20,7500,12,229,1500.0,4221.0,1.0,BBB_Blue_2666,48103158,221686669,RND397502277,'70,KZDOO,,27,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,13,0,10,0,0,2500.0,11990.0,,0%,4.7,0.36,0.1,0,2500.0,11990.0,True,0.7914929107589658
ORD914690,В пути,74952520,DDD_Green_2949,4980,4,15,Новогодняя распродажа,ст. Улан-Удэ,Курьер,19920,747,16,"3187,2",442,"15543,8",Склад 2,03.05.2025,2025-05-03,747.0,3187.2,15543.8,DDD_Green_2949,74952520,ORD914690,4980,4,15,19920,16,442,2988.0,12355.8,1.0,DDD_Green_2949,74952520,738160201,RND383673566,'45,KZDOO,,4,'4.20,Чехлы,Чехол для смартфона,'0.36,'0.1,29,0,0,0,0,4980.0,11990.0,,0%,4.2,0.36,0.1,0,4980.0,11990.0,True,0.5846538782318599
ORD362353,Доставлен,64538087,CCC_Clear_4692,3490,2,20,Нет,п. Фатеж,Постамат,6980,698,13,"907,4",337,"5037,6",Склад 2,21.05.2025,2025-05-21,698.0,907.4,5037.6,CCC_Clear_4692,64538087,ORD362353,3490,2,20,6980,13,337,2094.0,2843.6000000000004,0.8147851002865331,CCC_Clear_4692,64538087,601026191,"7,61154E+12",'45,KZDOO,,0,'0.00,Чехлы,Чехол для смартфона,'1.32,'0.3,0,0,10,0,0,3490.0,3490.0,,0%,0.0,1.32,0.3,0,3490.0,3490.0,False,0.0
ORD811756,Отменен,85372595,CCC_Titanium_6837,2550,2,5,Нет,к. Орел,ПВЗ,5100,"127,5",17,867,307,"3798,5",Склад 1,01.04.2025,2025-04-01,127.5,867.0,3798.5,CCC_Titanium_6837,85372595,ORD811756,2550,2,5,5100,17,307,1530.0,2168.5,0.850392156862745,CCC_Titanium_6837,85372595,992822448,RND584954139,'45,KZDOO,,0,'0.00,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,10,0,0,2550.0,2550.0,,0%,0.0,0.36,0.1,0,2550.0,2550.0,False,0.0
ORD468701,Отменен,52760747,EEE_Titanium_6892,4700,4,20,Нет,г. Змеиногорск,ПВЗ,18800,940,11,2068,397,15395,Склад 1,24.01.2025,2025-01-24,940.0,2068.0,15395.0,EEE_Titanium_6892,52760747,ORD468701,4700,4,20,18800,11,397,2820.0,12375.0,1.0,EEE_Titanium_6892,52760747,819775296,RND946712251,'70,KZDOO,,1,'4.00,Чехлы,Чехол для смартфона,'0.36,'0.1,3,0,0,0,0,4700.0,11990.0,,0%,4.0,0.36,0.1,0,4700.0,11990.0,True,0.6080066722268557
ORD638331,В пути,71333535,CCC_Clear_1274,1460,3,0,Нет,п. Нурлат,Постамат,4380,0,12,"525,6",426,"3428,4",Склад 1,27.04.2025,2025-04-27,0.0,525.6,3428.4,CCC_Clear_1274,71333535,ORD638331,1460,3,0,4380,12,426,876.0,2402.4,1.0,CCC_Clear_1274,71333535,478991715,RND449509979,'70,REMAX,,90,'4.90,Защитные пленки и стекла,Защитное стекло,'0.17,'0.1,0,0,52,0,0,1460.0,4900.0,,0%,4.9,0.17,0.1,0,1460.0,4900.0,True,0.7020408163265306
