Номер отправления;Статус отправления;Ozon ID;Артикул товара;Итоговая стоимость;Количество товаров в отправлении;Скидка %;Акции;Регион доставки;Способ доставки;Сумма отправления;Скидка, руб.;Вознаграждение %;Вознаграждение, руб.;Стоимость доставки;К выплате;Склад отгрузки;Дата логистической операции
ORD285753;В пути;74085515;CCC_Purple_3517;5990;4;15;Черная пятница;п. Шуя;ПВЗ;23960;898,5;10;2396;107;20558,5;Склад 2;20.06.2025
ORD178060;Доставлен;99230127;BBB_Purple_4146;2980;3;10;Нет;г. Сызрань;Курьер;8940;298;11;983,4;147;7511,6;Склад 3;07.01.2025
ORD438460;Доставлен;25995510;EEE_Clear_8415;4600;2;10;Новогодняя распродажа;с. Красная Поляна;ПВЗ;9200;460;19;1748;437;6555;Склад 1;05.08.2025
ORD487349;В пути;33846396;GGG_White_5000;3290;2;0;Новогодняя распродажа;ст. Чегем;Постамат;6580;0;15;987;437;5156;Склад 2;11.02.2025
ORD679385;Отменен;62743855;EEE_Blue_8678;3380;1;20;Черная пятница;г. Тымовское;Постамат;3380;676;17;574,6;231;1898,4;Склад 3;24.06.2025
ORD968374;Доставлен;55041656;AAA_Green_9617;2790;1;20;Нет;клх Энгельс;ПВЗ;2790;558;12;334,8;135;1762,2;Склад 2;15.06.2025
ORD233074;Доставлен;12911883;DDD_Red_2385;680;1;0;Новогодняя распродажа;ст. Петропавловск-Камчатский;ПВЗ;680;0;14;95,2;381;203,8;Склад 3;17.06.2025
ORD297726;Доставлен;74230163;CCC_Blue_5972;4990;2;20;Черная пятница;к. Чита;Курьер;9980;998;13;1297,4;244;7440,6;Склад 3;08.05.2025
ORD879907;Отменен;24666903;BBB_Titanium_9028;3380;3;5;Черная пятница;с. Ангарск;Постамат;10140;169;18;1825,2;118;8027,8;Склад 2;19.01.2025
ORD751983;Отменен;61392847;HHH_Purple_2910;5580;1;20;Новогодняя распродажа;клх Чегем;ПВЗ;5580;1116;10;558;163;3743;Склад 1;18.04.2025
ORD882680;В пути;29055787;FFF_Blue_7389;7180;3;20;Новогодняя распродажа;к. Златоуст;Постамат;21540;1436;12;2584,8;154;17365,2;Склад 3;19.05.2025
ORD146417;Отменен;51304009;BBB_Red_7529;6990;1;0;Нет;ст. Курганинск;Постамат;6990;0;11;768,9;335;5886,1;Склад 1;10.08.2025
ORD552340;В пути;62613196;BBB_Red_1893;6580;4;15;Черная пятница;клх Нефтеюганск;Курьер;26320;987;18;4737,6;459;20136,4;Склад 2;29.01.2025
ORD326262;В пути;59874443;FFF_Green_9068;3380;4;20;Новогодняя распродажа;д. Тулпан;Курьер;13520;676;14;1892,8;417;10534,2;Склад 2;07.03.2025
ORD590449;Отменен;38119865;GGG_Blue_2701;5380;1;20;Черная пятница;г. Кисловодск;Курьер;5380;1076;14;753,2;318;3232,8;Склад 1;23.04.2025
ORD449428;В пути;69857947;BBB_Pink_3387;11100;2;15;Нет;п. Кунгур;ПВЗ;22200;1665;14;3108;268;17159;Склад 2;23.04.2025
ORD883822;Отменен;38174132;AAA_Pink_2294;2290;1;0;Новогодняя распродажа;г. Горно-Алтайск;Постамат;2290;0;19;435,1;347;1507,9;Склад 3;10.06.2025
ORD932993;В пути;99973635;CCC_Black_9622;5980;1;15;Нет;г. Северодвинск;ПВЗ;5980;897;18;1076,4;277;3729,6;Склад 1;28.02.2025
ORD186358;Отменен;42673199;HHH_White_7627;7180;2;0;Черная пятница;к. Кетченеры;ПВЗ;14360;0;17;2441,2;198;11720,8;Склад 2;10.05.2025
ORD482248;Отменен;82538041;EEE_Pink_7010;5990;4;5;Нет;г. Советский;Курьер;23960;299,5;12;2875,2;371;20414,3;Склад 2;17.04.2025
ORD674215;В пути;35600902;GGG_Clear_3876;7500;3;0;Нет;клх Брянск;Постамат;22500;0;11;2475;449;19576;Склад 1;05.04.2025
ORD966705;Доставлен;52297033;EEE_Red_3557;2550;1;5;Черная пятница;п. Нижнекамск;Постамат;2550;127,5;19;484,5;249;1689;Склад 3;06.06.2025
ORD771207;В пути;56604839;GGG_Titanium_3952;3490;2;5;Нет;с. Киржач;Курьер;6980;174,5;14;977,2;436;5392,3;Склад 1;24.02.2025
ORD285399;Отменен;28865428;CCC_White_6197;1900;1;0;Черная пятница;п. Оленегорск (Якут.);Постамат;1900;0;12;228;272;1400;Склад 2;13.06.2025
ORD635339;Доставлен;93401890;GGG_Titanium_7551;2790;2;10;Новогодняя распродажа;г. Рославль;Курьер;5580;279;14;781,2;260;4259,8;Склад 2;20.09.2025
ORD653724;В пути;16278472;EEE_Blue_7850;7180;3;0;Черная пятница;г. Аргаяш;ПВЗ;21540;0;19;4092,6;111;17336,4;Склад 1;30.05.2025
ORD593825;В пути;13642174;BBB_Black_4746;5500;3;20;Черная пятница;г. Ельня;ПВЗ;16500;1100;13;2145;378;12877;Склад 3;09.03.2025
ORD985444;В пути;20762733;GGG_Purple_4715;1550;4;20;Новогодняя распродажа;д. Старый Оскол;Курьер;6200;310;15;930;423;4537;Склад 3;09.08.2025
ORD627397;Доставлен;16238464;GGG_Green_8833;3380;2;10;Черная пятница;к. Октябрьский (Башк.);ПВЗ;6760;338;18;1216,8;365;4840,2;Склад 3;02.04.2025
ORD256706;Отменен;96985825;HHH_Purple_2504;3200;2;5;Новогодняя распродажа;д. Кедровый;ПВЗ;6400;160;14;896;160;5184;Склад 1;15.04.2025
ORD791932;В пути;35605795;CCC_Titanium_5935;2200;4;10;Новогодняя распродажа;г. Дубна;Курьер;8800;220;12;1056;141;7383;Склад 3;02.06.2025
ORD142801;В пути;97009468;BBB_Red_2622;5580;4;20;Черная пятница;клх Усть-Илимск;ПВЗ;22320;1116;19;4240,8;329;16634,2;Склад 3;11.08.2025
ORD619117;В пути;94453894;CCC_Green_6440;7300;2;10;Нет;с. Можга;Постамат;14600;730;19;2774;260;10836;Склад 3;06.08.2025
ORD912659;В пути;40831517;HHH_Titanium_9359;3590;4;0;Нет;д. Ковров;ПВЗ;14360;0;18;2584,8;271;11504,2;Склад 3;16.01.2025
ORD462429;В пути;52732703;CCC_Pink_7226;6200;3;10;Новогодняя распродажа;с. Краснотурьинск;Курьер;18600;620;16;2976;487;14517;Склад 2;15.09.2025
ORD856555;Отменен;17625450;EEE_Red_9020;5580;1;5;Нет;ст. Старый Оскол;Постамат;5580;279;12;669,6;389;4242,4;Склад 1;11.02.2025
ORD993686;Отменен;49969528;HHH_Purple_2012;2980;3;0;Нет;ст. Карпинск;Постамат;8940;0;19;1698,6;264;6977,4;Склад 1;11.03.2025
ORD562029;В пути;69371023;AAA_Red_8534;6180;4;15;Черная пятница;п. Белорецк;ПВЗ;24720;927;12;2966,4;107;20719,6;Склад 3;07.06.2025
ORD546311;Доставлен;84625234;FFF_Titanium_1292;3100;2;20;Новогодняя распродажа;д. Лесной (Сверд.);Постамат;6200;620;18;1116;113;4351;Склад 1;12.08.2025
ORD953942;Отменен;29143377;CCC_Titanium_5503;380;2;20;Новогодняя распродажа;с. Магнитогорск;Курьер;760;76;19;144,4;373;166,6;Склад 1;03.08.2025
ORD819026;Доставлен;71333535;CCC_Clear_1274;1460;3;10;Черная пятница;ст. Мураши;Постамат;4380;146;16;700,8;435;3098,2;Склад 2;26.04.2025
ORD977452;Отменен;84044517;AAA_Clear_3473;2590;2;0;Нет;д. Алдан;ПВЗ;5180;0;18;932,4;383;3864,6;Склад 1;02.04.2025
ORD308906;В пути;18519010;DDD_Blue_8362;6580;4;15;Новогодняя распродажа;к. Аша;ПВЗ;26320;987;17;4474,4;262;20596,6;Склад 2;29.06.2025
ORD666125;Отменен;93626225;FFF_Clear_4303;9990;3;0;Нет;клх Лабинск;Постамат;29970;0;11;3296,7;112;26561,3;Склад 1;07.05.2025
ORD655237;В пути;84867052;BBB_Black_9984;3980;2;20;Новогодняя распродажа;д. Адлер;Курьер;7960;796;16;1273,6;486;5404,4;Склад 2;05.06.2025
ORD486500;Отменен;91512215;DDD_Red_1755;2490;1;0;Новогодняя распродажа;д. Диксон;Курьер;2490;0;10;249;494;1747;Склад 2;12.06.2025
ORD545107;В пути;51023847;FFF_Green_1065;4990;1;15;Новогодняя распродажа;д. Новочеркасск;ПВЗ;4990;748,5;15;748,5;319;3174;Склад 1;07.06.2025
ORD545401;В пути;18885984;DDD_Purple_4347;6200;4;10;Новогодняя распродажа;клх Кетченеры;ПВЗ;24800;620;11;2728;128;21324;Склад 2;31.05.2025
ORD639745;В пути;99230127;BBB_Purple_4146;2980;2;5;Нет;клх Ессентуки;Курьер;5960;149;14;834,4;316;4660,6;Склад 2;01.09.2025
ORD992206;В пути;24644733;FFF_Black_3652;3477;4;0;Нет;к. Нефедова;Постамат;13908;0;18;2503,44;456;10948,56;Склад 1;19.06.2025
ORD210044;Доставлен;10226963;FFF_Green_2714;9180;3;5;Нет;клх Нижний Тагил;Постамат;27540;459;19;5232,6;371;21477,4;Склад 2;16.05.2025
ORD386456;В пути;11723919;EEE_Black_5621;3180;1;20;Нет;п. Внуково (метеост.);Постамат;3180;636;13;413,4;387;1743,6;Склад 2;26.04.2025
ORD210660;Доставлен;23429358;HHH_Pink_8971;11100;3;10;Черная пятница;ст. Великие Луки;Постамат;33300;1110;15;4995;133;27062;Склад 2;03.03.2025
ORD773752;Доставлен;74692955;DDD_Black_2968;5124;2;10;Новогодняя распродажа;к. Калевала;Курьер;10248;512,4;15;1537,2;142;8056,4;Склад 2;09.02.2025
ORD778832;В пути;52629278;FFF_Purple_6937;5990;4;0;Новогодняя распродажа;ст. Усолье Сибирское;ПВЗ;23960;0;19;4552,4;150;19257,6;Склад 2;20.04.2025
ORD939451;Доставлен;71643669;CCC_Green_1403;11100;4;10;Новогодняя распродажа;д. Троицк (Моск.);ПВЗ;44400;1110;14;6216;461;36613;Склад 3;18.09.2025
ORD134912;Отменен;64493994;EEE_Clear_3126;2980;4;0;Черная пятница;к. Баргузин;Постамат;11920;0;16;1907,2;310;9702,8;Склад 2;22.06.2025
ORD586311;В пути;39497042;BBB_White_2474;2000;3;0;Нет;п. Киржач;Курьер;6000;0;19;1140;416;4444;Склад 2;18.08.2025
ORD694727;Доставлен;20387700;HHH_Black_9830;6980;1;5;Новогодняя распродажа;д. Лесной (Сверд.);Курьер;6980;349;13;907,4;146;5577,6;Склад 2;09.05.2025
ORD861478;В пути;50625074;EEE_White_5636;5980;3;10;Нет;ст. Липецк;Постамат;17940;598;19;3408,6;471;13462,4;Склад 2;08.01.2025
ORD680472;В пути;53675020;DDD_Titanium_6448;5580;3;0;Нет;с. Балашов;Постамат;16740;0;19;3180,6;428;13131,4;Склад 1;11.03.2025
ORD301565;В пути;42354439;HHH_Red_3959;6580;2;5;Черная пятница;ст. Белокуриха;Постамат;13160;329;19;2500,4;189;10141,6;Склад 3;19.07.2025
ORD841509;Доставлен;72055283;DDD_Purple_2787;10980;2;15;Черная пятница;клх Курган;ПВЗ;21960;1647;12;2635,2;449;17228,8;Склад 1;27.04.2025
ORD659013;Отменен;59874443;FFF_Green_9068;3380;2;5;Нет;с. Анива;Постамат;6760;169;14;946,4;205;5439,6;Склад 3;31.07.2025
ORD110586;Отменен;45963238;FFF_Titanium_5998;2600;1;5;Новогодняя распродажа;ст. Каргасок;ПВЗ;2600;130;18;468;182;1820;Склад 2;19.04.2025
ORD971992;Доставлен;93094444;DDD_White_9135;2990;1;0;Новогодняя распродажа;к. Сладково;Курьер;2990;0;13;388,7;205;2396,3;Склад 2;03.02.2025
ORD919705;В пути;21929427;FFF_Green_1597;4990;2;20;Черная пятница;г. Кирово-Чепецк;Курьер;9980;998;16;1596,8;463;6922,2;Склад 3;18.04.2025
ORD540263;Доставлен;20387700;HHH_Black_9830;6980;2;20;Черная пятница;к. Вуктыл;ПВЗ;13960;1396;11;1535,6;466;10562,4;Склад 3;19.06.2025
ORD111634;Доставлен;65415657;HHH_Black_7735;7180;1;20;Черная пятница;г. Шарья;ПВЗ;7180;1436;10;718;231;4795;Склад 1;20.09.2025
ORD111891;Доставлен;72952203;EEE_Pink_4218;6738;4;5;Черная пятница;с. Казань;ПВЗ;26952;336,9;14;3773,28;382;22459,82;Склад 3;20.09.2025
ORD412750;В пути;98454420;AAA_Titanium_4017;7180;1;0;Черная пятница;с. Сызрань;ПВЗ;7180;0;15;1077;370;5733;Склад 2;22.06.2025
ORD730153;Доставлен;18140841;EEE_Pink_1003;4980;1;10;Черная пятница;п. Кисловодск;Постамат;4980;498;13;647,4;422;3412,6;Склад 1;05.04.2025
ORD858641;В пути;77364242;EEE_White_7896;7000;1;5;Черная пятница;ст. Серпухов;Курьер;7000;350;15;1050;218;5382;Склад 3;20.07.2025
ORD555909;Доставлен;43776637;EEE_Blue_5790;5980;2;5;Новогодняя распродажа;к. Тулпан;Постамат;11960;299;15;1794;304;9563;Склад 3;29.08.2025
ORD625885;Отменен;36919791;CCC_Clear_1118;1800;4;0;Черная пятница;ст. Нефтеюганск;ПВЗ;7200;0;16;1152;367;5681;Склад 1;22.06.2025
ORD276217;Доставлен;82611352;HHH_Pink_5740;3380;1;15;Черная пятница;п. Старая Русса;Постамат;3380;507;16;540,8;110;2222,2;Склад 3;24.03.2025
ORD552853;Доставлен;56847236;GGG_Purple_3146;9180;2;5;Новогодняя распродажа;д. Вендинга;Постамат;18360;459;14;2570,4;250;15080,6;Склад 2;27.08.2025
ORD949317;Отменен;34643765;GGG_Black_5712;6980;3;15;Новогодняя распродажа;с. Печора;Курьер;20940;1047;14;2931,6;378;16583,4;Склад 1;02.03.2025
ORD477046;В пути;21167732;EEE_Black_9568;9980;3;15;Нет;ст. Троицк (Моск.);Постамат;29940;1497;11;3293,4;201;24948,6;Склад 3;20.09.2025
ORD699926;В пути;32826828;EEE_Titanium_7662;6990;1;20;Черная пятница;д. Лесной (Сверд.);Курьер;6990;1398;15;1048,5;483;4060,5;Склад 2;15.09.2025
ORD850161;Доставлен;13735368;EEE_Clear_4552;3490;3;0;Черная пятница;п. Вологда;ПВЗ;10470;0;15;1570,5;112;8787,5;Склад 3;02.05.2025
ORD677246;Отменен;89677157;DDD_White_8101;7180;4;15;Черная пятница;г. Волхов;Постамат;28720;1077;14;4020,8;483;23139,2;Склад 1;21.03.2025
ORD350701;В пути;48819696;BBB_Black_2129;5100;3;0;Черная пятница;к. Павловский Посад;ПВЗ;15300;0;13;1989;186;13125;Склад 3;18.05.2025
ORD231272;Доставлен;25324439;HHH_Red_4713;2000;3;20;Нет;п. Липецк;Курьер;6000;400;17;1020;119;4461;Склад 3;29.07.2025
ORD530893;Отменен;70160612;AAA_Purple_3399;7828;4;0;Новогодняя распродажа;с. Камень-на-Оби;ПВЗ;31312;0;10;3131,2;216;27964,8;Склад 3;28.08.2025
ORD762118;В пути;74230163;CCC_Blue_5972;4990;1;5;Новогодняя распродажа;клх Кажим;ПВЗ;4990;249,5;19;948,1;414;3378,4;Склад 2;09.05.2025
ORD348235;В пути;16502779;HHH_Titanium_2914;3250;1;15;Черная пятница;с. Агата;Курьер;3250;487,5;10;325;400;2037,5;Склад 2;26.06.2025
ORD911790;Отменен;43817644;AAA_Green_1908;11100;4;0;Черная пятница;ст. Кош-Агач;ПВЗ;44400;0;19;8436;183;35781;Склад 3;15.02.2025
ORD595374;Отменен;93363944;DDD_Blue_6449;580;4;10;Черная пятница;д. Талдом;ПВЗ;2320;58;14;324,8;178;1759,2;Склад 3;31.05.2025
ORD992713;Отменен;22843017;BBB_Black_5404;6090;4;0;Нет;к. Миллерово;ПВЗ;24360;0;14;3410,4;357;20592,6;Склад 1;17.02.2025
ORD858391;Отменен;88157875;BBB_Green_9675;5300;3;15;Нет;д. Заводоуковск;Постамат;15900;795;12;1908;283;12914;Склад 3;11.07.2025
ORD568967;Доставлен;35214367;FFF_White_7199;9990;4;20;Новогодняя распродажа;г. Вендинга;ПВЗ;39960;1998;10;3996;416;33550;Склад 1;10.01.2025
ORD205246;Отменен;24046960;GGG_Purple_6176;2980;2;20;Черная пятница;п. Гаврилов-Ям;Курьер;5960;596;12;715,2;109;4539,8;Склад 2;07.09.2025
ORD809267;В пути;98875006;EEE_Black_6295;2500;3;15;Черная пятница;г. Ярославль;Постамат;7500;375;11;825;344;5956;Склад 3;16.05.2025
ORD973267;В пути;78108555;BBB_Green_2236;6050;1;5;Черная пятница;п. Сосновый Бор;Постамат;6050;302,5;16;968;392;4387,5;Склад 1;19.04.2025
ORD358580;Доставлен;19259686;HHH_Pink_2327;2000;1;5;Черная пятница;п. Охотск;Курьер;2000;100;13;260;497;1143;Склад 2;14.01.2025
ORD212642;В пути;96001367;AAA_Purple_5672;6580;1;20;Нет;п. Стрежевой;ПВЗ;6580;1316;17;1118,6;371;3774,4;Склад 1;17.08.2025
ORD379406;В пути;67734976;CCC_Green_5247;4980;3;20;Новогодняя распродажа;ст. Хабаровск;Постамат;14940;996;12;1792,8;192;11959,2;Склад 2;16.07.2025
ORD100242;Отменен;58519965;FFF_White_5263;5800;2;15;Новогодняя распродажа;клх Касимов;Постамат;11600;870;19;2204;143;8383;Склад 3;15.05.2025
ORD351220;В пути;76585970;FFF_White_7505;5180;4;5;Нет;г. Уренгой;Постамат;20720;259;15;3108;356;16997;Склад 1;29.03.2025
ORD600934;Доставлен;84738673;HHH_White_1139;11000;4;20;Черная пятница;г. Липецк;ПВЗ;44000;2200;11;4840;309;36651;Склад 3;27.06.2025
ORD382176;Отменен;93054617;BBB_Purple_1296;2700;1;5;Новогодняя распродажа;ст. Сковородино;Постамат;2700;135;14;378;459;1728;Склад 1;02.02.2025
ORD818991;Отменен;79145863;BBB_Clear_5799;2980;1;20;Новогодняя распродажа;п. Серебряные Пруды;Курьер;2980;596;12;357,6;390;1636,4;Склад 2;07.09.2025
ORD982411;Доставлен;69371023;AAA_Red_8534;6180;3;0;Нет;ст. Шатура;ПВЗ;18540;0;11;2039,4;303;16197,6;Склад 1;19.03.2025
ORD571411;Отменен;60679385;EEE_White_2537;1340;2;10;Черная пятница;клх Великие Луки;Курьер;2680;134;15;402;261;1883;Склад 1;18.01.2025
ORD559801;Отменен;57336840;DDD_White_8173;1800;4;0;Новогодняя распродажа;п. Пятигорск;Курьер;7200;0;16;1152;261;5787;Склад 3;27.01.2025
ORD809526;Доставлен;76161009;AAA_Green_4817;6190;3;20;Черная пятница;с. Красноселькуп;Постамат;18570;1238;19;3528,3;190;13613,7;Склад 3;06.08.2025
ORD753932;Отменен;43022400;BBB_Red_2345;2980;4;10;Новогодняя распродажа;с. Пушкино (Моск.);Постамат;11920;298;15;1788;106;9728;Склад 3;29.01.2025
ORD281346;Доставлен;15266766;AAA_Black_3318;3490;1;10;Нет;к. Шатки;Постамат;3490;349;19;663,1;329;2148,9;Склад 2;28.02.2025
ORD998709;Доставлен;80855016;FFF_Titanium_1848;5990;4;20;Черная пятница;г. Мелеуз;Курьер;23960;1198;19;4552,4;184;18025,6;Склад 3;12.09.2025
ORD336497;В пути;69586840;GGG_White_9441;3180;2;20;Нет;ст. Нижний Новгород;ПВЗ;6360;636;18;1144,8;183;4396,2;Склад 1;22.06.2025
ORD487477;В пути;17430134;AAA_Red_9681;6590;2;5;Новогодняя распродажа;д. Кетченеры;Постамат;13180;329,5;14;1845,2;150;10855,3;Склад 2;03.08.2025
ORD699218;Отменен;58507722;AAA_Purple_1838;5500;1;20;Нет;с. Шатура;Постамат;5500;1100;11;605;175;3620;Склад 3;28.07.2025
ORD986970;Отменен;70326795;FFF_Purple_9422;11100;2;15;Нет;клх Бомнак;Курьер;22200;1665;12;2664;112;17759;Склад 1;26.02.2025
ORD746418;Доставлен;86056168;FFF_Green_1588;11000;2;20;Нет;д. Шадринск;ПВЗ;22000;2200;16;3520;369;15911;Склад 1;11.08.2025
ORD230205;Отменен;58794039;GGG_Titanium_5888;3300;3;15;Новогодняя распродажа;п. Озеры;Курьер;9900;495;14;1386;260;7759;Склад 2;22.08.2025
ORD292339;Доставлен;68455110;AAA_Purple_5764;4980;4;20;Черная пятница;ст. Кедровый;Постамат;19920;996;11;2191,2;324;16408,8;Склад 1;04.02.2025
ORD580959;Доставлен;26479913;EEE_Pink_1004;7180;1;5;Нет;к. Тавда;Курьер;7180;359;14;1005,2;354;5461,8;Склад 3;29.07.2025
ORD283560;Отменен;13687354;DDD_Black_1710;4990;1;15;Черная пятница;д. Химки;Постамат;4990;748,5;10;499;488;3254,5;Склад 1;28.06.2025
ORD979253;Доставлен;56270048;HHH_Black_8961;7180;1;0;Новогодняя распродажа;п. Калевала;ПВЗ;7180;0;17;1220,6;127;5832,4;Склад 3;13.07.2025
ORD143339;В пути;46303448;EEE_Green_9795;10400;1;15;Черная пятница;к. Нурлат;Курьер;10400;1560;10;1040;267;7533;Склад 3;12.05.2025
ORD892321;Отменен;32156174;DDD_White_3845;1950;1;5;Нет;к. Байкальск;Постамат;1950;97,5;16;312;198;1342,5;Склад 2;25.02.2025
ORD232223;В пути;81535584;HHH_White_8297;11100;2;15;Нет;к. Ивдель;Постамат;22200;1665;17;3774;290;16471;Склад 1;23.08.2025
ORD754916;Отменен;17897185;BBB_Red_6872;4990;3;20;Нет;ст. Кировск (Ленин.);Постамат;14970;998;11;1646,7;468;11857,3;Склад 2;11.06.2025
ORD777904;Доставлен;48103158;BBB_Blue_2666;2500;1;20;Нет;с. Домодедово;Постамат;2500;500;15;375;389;1236;Склад 2;23.02.2025
ORD728401;Отменен;22705435;CCC_Green_4282;6580;3;5;Нет;с. Петушки;Курьер;19740;329;17;3355,8;364;15691,2;Склад 2;25.01.2025
ORD512922;В пути;32219595;GGG_Pink_3942;2200;3;10;Нет;г. Химки;Постамат;6600;220;12;792;276;5312;Склад 3;22.05.2025
ORD791215;Доставлен;34469882;HHH_Purple_4677;2450;2;20;Новогодняя распродажа;п. Фатеж;Курьер;4900;490;11;539;368;3503;Склад 3;11.03.2025
ORD809691;Отменен;85687791;AAA_Black_9253;5980;1;0;Новогодняя распродажа;п. Пушкино (Моск.);Постамат;5980;0;13;777,4;112;5090,6;Склад 3;31.01.2025
ORD223482;Отменен;42236708;HHH_Green_6711;5580;2;5;Новогодняя распродажа;ст. Сухиничи;Курьер;11160;279;15;1674;334;8873;Склад 3;03.06.2025
ORD356046;Отменен;18386274;EEE_Pink_4898;2900;1;15;Черная пятница;г. Славянск-на-Кубани;Курьер;2900;435;15;435;321;1709;Склад 1;13.01.2025
ORD592489;В пути;28732161;DDD_Blue_4543;490;2;15;Черная пятница;г. Белокуриха;Постамат;980;73,5;11;107,8;238;560,7;Склад 1;15.01.2025
ORD673333;В пути;95808454;AAA_Clear_6434;3600;3;0;Новогодняя распродажа;д. Камышлов;Постамат;10800;0;14;1512;180;9108;Склад 3;19.06.2025
ORD907519;Отменен;75709449;EEE_Green_6861;11100;1;20;Черная пятница;с. Новокузнецк;Постамат;11100;2220;12;1332;423;7125;Склад 3;19.09.2025
ORD247686;Доставлен;26492321;EEE_Purple_3803;2300;4;5;Черная пятница;п. Екатеринбург;Постамат;9200;115;18;1656;121;7308;Склад 1;21.07.2025
ORD857597;Доставлен;83953719;BBB_Blue_5153;6980;3;0;Нет;к. Кашира;ПВЗ;20940;0;13;2722,2;127;18090,8;Склад 2;15.06.2025
ORD772635;В пути;80262000;FFF_Titanium_1822;11100;4;20;Нет;клх Туапсе;Постамат;44400;2220;18;7992;276;33912;Склад 2;23.05.2025
ORD189847;Доставлен;33346489;EEE_Purple_4483;1060;3;5;Черная пятница;г. Токсово;Постамат;3180;53;14;445,2;201;2480,8;Склад 3;19.09.2025
ORD512362;В пути;17932091;GGG_Black_4469;3490;2;15;Черная пятница;д. Усть-Камчатск;Постамат;6980;523,5;17;1186,6;398;4871,9;Склад 2;16.06.2025
ORD521233;Отменен;80507859;HHH_Clear_8794;3500;1;5;Новогодняя распродажа;д. Сортавала;Курьер;3500;175;15;525;353;2447;Склад 3;24.04.2025
ORD111270;В пути;79710676;AAA_White_1844;4990;3;10;Черная пятница;к. Карабулак;Постамат;14970;499;16;2395,2;409;11666,8;Склад 3;31.03.2025
ORD492694;В пути;28074469;HHH_Black_6852;4990;2;5;Нет;п. Холмск;Курьер;9980;249,5;13;1297,4;229;8204,1;Склад 3;03.09.2025
ORD178085;Отменен;55570580;BBB_White_3663;11100;1;10;Черная пятница;п. Воркута;Курьер;11100;1110;17;1887;396;7707;Склад 1;16.05.2025
ORD139926;Доставлен;22270955;CCC_Purple_4954;2980;1;5;Новогодняя распродажа;п. Усть-Камчатск;Курьер;2980;149;14;417,2;444;1969,8;Склад 2;11.06.2025
ORD307680;В пути;83447966;BBB_Blue_8761;5180;3;10;Нет;ст. Лазаревское;Курьер;15540;518;14;2175,6;238;12608,4;Склад 1;25.03.2025
ORD575764;В пути;87709977;GGG_Black_5508;5648;1;15;Нет;г. Моршанск;ПВЗ;5648;847,2;15;847,2;235;3718,6;Склад 2;28.05.2025
ORD198246;Отменен;38119865;GGG_Blue_2701;5380;3;20;Нет;ст. Сарапул;Постамат;16140;1076;18;2905,2;459;11699,8;Склад 1;08.02.2025
ORD641771;Доставлен;70160612;AAA_Purple_3399;7828;1;10;Нет;к. Чебаркуль;Курьер;7828;782,8;16;1252,48;119;5673,72;Склад 1;22.09.2025
ORD659338;В пути;12105804;CCC_Clear_2175;7828;4;10;Черная пятница;к. Урай;Постамат;31312;782,8;13;4070,56;240;26218,64;Склад 3;14.07.2025
ORD920232;Отменен;30155466;GGG_Red_1294;5580;2;15;Новогодняя распродажа;д. Таштагол;Курьер;11160;837;16;1785,6;147;8390,4;Склад 3;08.08.2025
ORD915478;В пути;42669478;FFF_Black_3829;11100;4;10;Черная пятница;клх Котельнич;ПВЗ;44400;1110;16;7104;111;36075;Склад 1;05.06.2025
ORD238973;Отменен;47477350;AAA_Blue_8334;5500;3;0;Черная пятница;п. Чикола;Курьер;16500;0;19;3135;145;13220;Склад 2;19.07.2025
ORD230219;Доставлен;44426303;CCC_Green_5742;4980;4;15;Нет;клх Сызрань;Постамат;19920;747;18;3585,6;272;15315,4;Склад 2;02.02.2025
ORD158596;Доставлен;74559111;AAA_Purple_3253;1390;3;0;Новогодняя распродажа;г. Салават;Постамат;4170;0;16;667,2;374;3128,8;Склад 3;03.06.2025
ORD517241;Доставлен;51178363;BBB_White_3471;2980;1;15;Нет;г. Томари;ПВЗ;2980;447;13;387,4;215;1930,6;Склад 3;07.03.2025
ORD783150;Доставлен;48759312;AAA_Clear_7073;1490;1;10;Черная пятница;с. Железногорск(Курск.);Постамат;1490;149;17;253,3;439;648,7;Склад 2;20.04.2025
ORD416791;В пути;12636113;HHH_Clear_3600;1000;3;0;Черная пятница;п. Малая Вишера;Постамат;3000;0;15;450;275;2275;Склад 2;08.02.2025
ORD637103;В пути;65992151;FFF_Red_3712;3400;4;10;Нет;п. Кызыл;Курьер;13600;340;19;2584;487;10189;Склад 2;04.07.2025
ORD963341;Доставлен;18488674;CCC_Clear_9381;3490;1;15;Черная пятница;к. Воркута;Постамат;3490;523,5;12;418,8;481;2066,7;Склад 3;24.03.2025
ORD476546;Доставлен;37739044;AAA_Red_6276;3490;2;10;Черная пятница;с. Диксон;Курьер;6980;349;10;698;409;5524;Склад 2;16.01.2025
ORD398374;Доставлен;61640595;AAA_Purple_8645;3380;1;0;Нет;к. Кырен;ПВЗ;3380;0;10;338;472;2570;Склад 3;28.03.2025
ORD963642;В пути;20765137;CCC_Pink_8919;1580;2;0;Черная пятница;к. Москва, МГУ;Постамат;3160;0;16;505,6;382;2272,4;Склад 1;27.01.2025
ORD829841;Доставлен;61427977;CCC_Clear_6193;3490;4;10;Новогодняя распродажа;д. Тамбей;Курьер;13960;349;19;2652,4;458;10500,6;Склад 1;15.09.2025
ORD711584;Доставлен;84981649;HHH_Blue_6949;2700;2;5;Нет;д. Лотошино;Постамат;5400;135;10;540;194;4531;Склад 1;30.06.2025
